page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
1.0,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,
3.0,,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,
4.0,,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,
5.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,12.0,19.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,16.0,17.0,,,,,,,,,,,,,,,,,,,,,,
9.0,,14.0,22.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,20.0,18.0,,,,,,,,,,,,,,,,,,,,,,
11.0,f,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,51.0,52.0,,,,,,,,,,,,,,,,,,,,,,
14.0,0.0,15.0,,,"you struggle to swim against windy seas toward shore, but a better strategy occurs to you",,x,,,,,,,,,,,,,,,,,,
15.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,,37.0,38.0,,,,,,,,,,,,,,,,,,,,,,
18.0,,41.0,3.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,24.0,28.0,27.0,,,,,,,,,,,,,,,,,,,,,
20.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,81.0,82.0,,,,,,,,,,,,,,,,,,,,,,
22.0,0.0,23.0,26.0,,,,,,,,,,,,,,,,,,,,,,
23.0,,33.0,32.0,,,,,,,,,,,,,,,,,,,,,,
24.0,,36.0,89.0,,,,,,,,,,,,,,,,,,,,,,
25.0,f,,,,,,,,,,,,,,,,,,,,,,,,
26.0,0.0,,,,"you cling to the basket for days at sea, lost in the fog. When the weather finally clears you spot the sharks that are circling you",x,,,,,,,,,,,,,,,,,,,
27.0,,18.0,36.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,,66.0,39.0,,,,,,,,,,,,,,,,,,,,,,
30.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,0.0,,,,you mishandle your oar and lose control of the boat as the waves come crashing down,x,,,,,,,,,,,,,,,,,,,
32.0,,24.0,28.0,27.0,,,,,,,,,,,,,,,,,,,,,
33.0,,44.0,67.0,,,,,,,,,,,,,,,,,,,,,,
34.0,,76.0,77.0,,,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,,,,,,,,,,,,,,,,,,,,,
36.0,,61.0,78.0,,,,,,,,,,,,,,,,,,,,,,
37.0,,53.0,54.0,,,,,,,,,,,,,,,,,,,,,,
38.0,0.0,,,,"you become the key ingredient in “Gleeb Fogo,” the spacemen’s favorite dessert",x,,,,,,,,,,,,,,,,,,,
39.0,,42.0,80.0,,,,,,,,,,,,,,,,,,,,,,
40.0,f,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,45.0,43.0,,,,,,,,,,,,,,,,,,,,,,
42.0,,68.0,114.0,,,,,,,,,,,,,,,,,,,,,,
43.0,,30.0,31.0,,,,,,,,,,,,,,,,,,,,,,
44.0,,46.0,47.0,48.0,,,,,,,,,,,,,,,,,,,,,
45.0,,50.0,49.0,,,,,,,,,,,,,,,,,,,,,,
46.0,0.0,,,,"you fire the torpedo and sink the whaling ship, inaugurating your new career as the eco-vigilante who brought the whale trade to a global standstill",,,x,,,,,,,,,,,,,,,,,
47.0,,,,,"you sink the whaling ship but, wracked with guilt, turn yourself in to the authorities. Your prison memoir inspires a global whaling ban and leads to your eventual pardon",,,,x,,,,,,,,,,,,,,,,
48.0,0.0,,,,"you refuse to fire on the whaling ship and your sub is struck by its keel, sending you to a watery grave",x,,,,,,,,,,,,,,,,,,,
49.0,,57.0,56.0,,,,,,,,,,,,,,,,,,,,,,
50.0,,95.0,58.0,,,,,,,,,,,,,,,,,,,,,,
51.0,,70.0,71.0,,,,,,,,,,,,,,,,,,,,,,
52.0,,,,,"you refuse to join the chieftain’s fight, but you know to much to be allowed to go free … or to live",x,,,,,,,,,,,,,,,,,,,
53.0,,60.0,54.0,,,,,,,,,,,,,,,,,,,,,,
54.0,0.0,55.0,,,,,,,,,,,,,,,,,,,,,,,
55.0,,101.0,106.0,,,,,,,,,,,,,,,,,,,,,,
56.0,,86.0,88.0,,,,,,,,,,,,,,,,,,,,,,
57.0,,94.0,96.0,,,,,,,,,,,,,,,,,,,,,,
58.0,,64.0,65.0,,,,,,,,,,,,,,,,,,,,,,
59.0,f,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,88.0,62.0,,,,,,,,,,,,,,,,,,,,,,
61.0,,1.0,,,you discover that the tunnel was part of an amusement park ride and you’re now in big trouble for tresspassing,,x,,,,,,,,,,,,,,,,,,
62.0,0.0,63.0,104.0,,,,,,,,,,,,,,,,,,,,,,
63.0,,,,,you are trapped forever in King Ramsey’s tomb. Luckily a chatty mummy is there to keep you company,,x,,,,,,,,,,,,,,,,,,
64.0,0.0,,,,you are shoved into a jail cell and your final sight is of the many glowing red eyes approaching you in the darkness,x,,,,,,,,,,,,,,,,,,,
65.0,,,,,"your flashlight identifies you as gods to the villagers who now worship but imprison you, at least so long as the batteries hold out",,x,,,,,,,,,,,,,,,,,,
66.0,,,,,you drink the invisibility potion which allows you to escape and makes you an excellent police detective when you return home,,,,x,,,,,,,,,,,,,,,,
67.0,,,,,you use your time on the sub to decode the language used by whales and learn the secrets of the ocean from them,,,,x,,,,,,,,,,,,,,,,
68.0,,,,,"your attempt to start up the helicopter triggers an avalanche, burying you before you can take off",x,,,,,,,,,,,,,,,,,,,
69.0,f,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,108.0,72.0,,,,,,,,,,,,,,,,,,,,,,
71.0,,74.0,75.0,,,,,,,,,,,,,,,,,,,,,,
72.0,0.0,,,,you signal the other balloon with your mirror and they respond by blasting you with a beam weapon,x,,,,,,,,,,,,,,,,,,,
73.0,,,,,you blast the other balloon with your beam and watch their fireball plummet to earth,,,x,,,,,,,,,,,,,,,,,
74.0,,84.0,85.0,,,,,,,,,,,,,,,,,,,,,,
75.0,0.0,,,,you land near a marble temple where you meet a boy prophet who reveals the mysteries of the universe to you,,,,,x,,,,,,,,,,,,,,,
76.0,,109.0,73.0,,,,,,,,,,,,,,,,,,,,,,
77.0,0.0,,,,you discover that the spaceman’s deal was not to let you leave “in peace” but “in pieces”,x,,,,,,,,,,,,,,,,,,,
78.0,0.0,79.0,,,,,,,,,,,,,,,,,,,,,,,
79.0,,102.0,107.0,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,"you are immobilized by the guards’ red-tape cannons and sentenced to a life of bureaucratic form-filling, eventually dying of boredom",x,,,,,,,,,,,,,,,,,,,
81.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
82.0,0.0,83.0,,,,,,,,,,,,,,,,,,,,,,,
83.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
84.0,,,,,"you break the balloon’s gas valve, dooming you to an icy asphyxiation in the upper atmosphere",x,,,,,,,,,,,,,,,,,,,
85.0,,,,,you join the tribe and learn to appreciate the tv- and candy-free “simple life”,,,,x,,,,,,,,,,,,,,,,
86.0,0.0,87.0,,,,,,,,,,,,,,,,,,,,,,,
87.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,
88.0,,93.0,92.0,,,,,,,,,,,,,,,,,,,,,,
89.0,,90.0,112.0,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,you are saved from drowning by a fishing boat’s net,,,x,,,,,,,,,,,,,,,,,
91.0,f,,,,,,,,,,,,,,,,,,,,,,,,
92.0,,,,,you walk all night toward the wind until finally accepting your fate as the desert sun rises and a sandstorm descends,x,,,,,,,,,,,,,,,,,,,
93.0,,,,,you walk toward the North Star until you spot the Mediterranean the next morning and are rescued,,,x,,,,,,,,,,,,,,,,,
94.0,0.0,97.0,96.0,,,,,,,,,,,,,,,,,,,,,,
95.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,
96.0,,,,,you survive the landslide and discover it has unearthed the fabled lost city,,,,,x,,,,,,,,,,,,,,,
97.0,0.0,,,,you are trapped in a cave with the treasures of Marco Polo’s caravan: crates of rotten spices and silks,x,,,,,,,,,,,,,,,,,,,
98.0,,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,
99.0,,,,,you steal the coins and make your escape but later discover you are unable to speak when you try to tell your tale and the coins have turned into a mass of pebbles,,x,,,,,,,,,,,,,,,,,,
100.0,,,,,you enter the spaceship and revive the three alien children from their suspended animation,,,,x,,,,,,,,,,,,,,,,
101.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,0.0,111.0,,,you and your friends are trapped in a cage deep below the surface (though your dog escapes and runs to seek help),,x,,,,,,,,,,,,,,,,,,
104.0,,113.0,115.0,,,,,,,,,,,,,,,,,,,,,,
105.0,f,,,,,,,,,,,,,,,,,,,,,,,,
106.0,,,,,you run down the tunnel as it becomes ever steeper and you are hurled into a time vortex,,x,,,,,,,,,,,,,,,,,,
107.0,,,,,you discover a massive system of underground rivers below the Sahara and return to the surface with news that will change the world,,,,,x,,,,,,,,,,,,,,,
108.0,,,,,"you approach the other balloon and discover a time-warped version of yourself from the future. Taking the advice of the Other You, you strike a deal between the space travelers and the desert dwellers and are honored by the U.N.",,,,,x,,,,,,,,,,,,,,,
109.0,,,,,"you approach the other balloon and discover a versions of yourself from the past. You successfully pitch your deal to the space men, but your reward is an underwhelming economy-class flight around the universe",,,x,,,,,,,,,,,,,,,,,
110.0,f,,,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,,"your dog Harry returns, having led a team of oil-well workers to rescue you. He becomes a famous movie star on the basis of the story and allows you to live in his house",,,,x,,,,,,,,,,,,,,,,
112.0,,,,,the tunnel caves in on top of you,x,,,,,,,,,,,,,,,,,,,
113.0,,,,,you join Captain Best’s desert patrol for a year and later become rich and famous from the book you write about your experiences,,,,,x,,,,,,,,,,,,,,,
114.0,,117.0,116.0,,,,,,,,,,,,,,,,,,,,,,
115.0,0.0,,,,you are captured by the prince’s desert patrol and wait out the interminable war in a prison cell,,x,,,,,,,,,,,,,,,,,,
116.0,,,,,"you make it back to civilization after escaping the lab, becoming a media sensation based on your story",,,,,x,,,,,,,,,,,,,,,
117.0,,,,,you escape the lab and find your way to the remote village of the Blue Mountain Men where you become a shepherd and enjoy your quiet existence,,,,,x,,,,,,,,,,,,,,,
