page,illo,c1,c2,c3,c4,c5,details,death,bad,ok,good,win,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,
4.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,
6.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,14.0,15.0,,,,,,,,,,,,,,,,,,,,,,
9.0,f,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,16.0,17.0,,,,,,,,,,,,,,,,,,,,,,
11.0,,22.0,21.0,,,,,,,,,,,,,,,,,,,,,,
12.0,,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,
13.0,f,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,24.0,25.0,,,,,,,,,,,,,,,,,,,,,,
15.0,0.0,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,27.0,31.0,,,,,,,,,,,,,,,,,,,,,,
17.0,,32.0,34.0,,,,,,,,,,,,,,,,,,,,,,
18.0,f,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,35.0,36.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,37.0,38.0,,,,,,,,,,,,,,,,,,,,,,
21.0,,42.0,41.0,,,,,,,,,,,,,,,,,,,,,,
22.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,,39.0,40.0,,,,,,,,,,,,,,,,,,,,,,
24.0,0.0,44.0,46.0,,,,,,,,,,,,,,,,,,,,,,
25.0,0.0,48.0,49.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,54.0,50.0,,,,,,,,,,,,,,,,,,,,,,
27.0,,56.0,57.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,52.0,55.0,,,,,,,,,,,,,,,,,,,,,,
29.0,f,,,,,,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,58.0,59.0,,,,,,,,,,,,,,,,,,,,,,
32.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,0.0,60.0,61.0,,,,,,,,,,,,,,,,,,,,,,
34.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,
