page,illo,c1,c2,c3,c4,c5,details,death,bad,ok,good,win,,,,,,,,,,,,,
1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,f,,,,,,,,,,,,,,,,,,,,,,,,
4.0,s,5.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,s,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,
6.0,,9.0,10.0,13.0,,,,,,,,,,,,,,,,,,,,,
7.0,0.0,46.0,48.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,
9.0,,14.0,15.0,16.0,,,,,,,,,,,,,,,,,,,,,
10.0,,17.0,19.0,,,,,,,,,,,,,,,,,,,,,,
11.0,f,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,24.0,25.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,20.0,34.0,,,,,,,,,,,,,,,,,,,,,,
14.0,,26.0,27.0,,,,,,,,,,,,,,,,,,,,,,
15.0,0.0,101.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,,30.0,33.0,,,,,,,,,,,,,,,,,,,,,,
17.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,28.0,32.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,35.0,36.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,,,,,,"you crash land on the third planet, embedding your ship deep into a snow drift. You prepare to climb up the tunnel it has created and wonder if you will ever see another human being",x,,,,,,,,,,,,,,,,,
22.0,s,44.0,45.0,,,,,,,,,,,,,,,,,,,,,,
23.0,s,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,,,,"you follow the captain’s orders, leading to the corporeal disintegration of you and everyone else on the ship and leaving you as a disembodied consciousness",x,,,,,,,,,,,,,,,,,
25.0,,42.0,43.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,,,,,,you bring your ship in for a smooth landing but it immediately begins sinking into the planet’s unexpectedly oleaginous surface. Your attempts to escape only hasten the process,x,,,,,,,,,,,,,,,,,
27.0,,49.0,50.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,f,,,,,,,,,,,,,,,,,,,,,,,,
