page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,s,4.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,s,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,
6.0,f,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,9.0,13.0,,,,,,,,,,,,,,,,,,,,,,
8.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,0.0,20.0,15.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,16.0,19.0,,,,,,,,,,,,,,,,,,,,,,
11.0,f,,,,,,,,,,,,,,,,,,,,,,,,
12.0,f,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,23.0,22.0,,,,,,,,,,,,,,,,,,,,,,
15.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,,24.0,27.0,,,,,,,,,,,,,,,,,,,,,,
17.0,f,,,,,,,,,,,,,,,,,,,,,,,,
18.0,f,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,28.0,29.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,46.0,47.0,,,,,,,,,,,,,,,,,,,,,,
22.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,,33.0,38.0,,,,,,,,,,,,,,,,,,,,,,
24.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,f,,,,,,,,,,,,,,,,,,,,,,,,
26.0,,40.0,116.0,,,,,,,,,,,,,,,,,,,,,,
27.0,,39.0,42.0,,,,,,,,,,,,,,,,,,,,,,
28.0,0.0,,,,0,x,,,,,,,,,,,,,,,,,,,
29.0,,,,,0,x,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,43.0,45.0,,,,,,,,,,,,,,,,,,,,,,
32.0,,,,,0,,x,,,,,,,,,,,,,,,,,,
33.0,,,,,0,x,,,,,,,,,,,,,,,,,,,
34.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,,,,,,,,,,,,,,,,,,,,,
36.0,f,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,0,,,x,,,,,,,,,,,,,,,,,
38.0,,50.0,48.0,,,,,,,,,,,,,,,,,,,,,,
39.0,,52.0,54.0,,,,,,,,,,,,,,,,,,,,,,
40.0,,51.0,63.0,,,,,,,,,,,,,,,,,,,,,,
41.0,f,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,,,,0,,x,,,,,,,,,,,,,,,,,,
43.0,,58.0,62.0,,,,,,,,,,,,,,,,,,,,,,
44.0,f,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,57.0,55.0,,,,,,,,,,,,,,,,,,,,,,
46.0,,59.0,64.0,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,0,,,,x,,,,,,,,,,,,,,,,
48.0,s,49.0,,,,,,,,,,,,,,,,,,,,,,,
49.0,s,68.0,,,,,,,,,,,,,,,,,,,,,,,
