page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,f,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,
4.0,,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,
5.0,f,,,,,,,,,,,,,,,,,,,,,,,,
6.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,
9.0,0.0,14.0,16.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,17.0,20.0,,,,,,,,,,,,,,,,,,,,,,
11.0,,21.0,24.0,,,,,,,,,,,,,,,,,,,,,,
12.0,s,10.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,s,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,,,,0,,,,,,,,,,,,,,,,,,,,
16.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,s,,,,,,,,,,,,,,,,,,,,,,,,
19.0,s,25.0,28.0,,,,,,,,,,,,,,,,,,,,,,
20.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
21.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,s,30.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,s,,,,,,,,,,,,,,,,,,,,,,,,
24.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
25.0,,,,,0,,,,,,,,,,,,,,,,,,,,
26.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,0.0,32.0,33.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,34.0,36.0,,,,,,,,,,,,,,,,,,,,,,
29.0,f,,,,,,,,,,,,,,,,,,,,,,,,
