page,illo,c1,c2,c3,c4,details,death,bad,ok,good,win,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,f,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,31.0,17.0,,,,,,,,,,,,,,,,,,,,,,
9.0,,4.0,13.0,10.0,,,,,,,,,,,,,,,,,,,,,
10.0,,12.0,32.0,,,,,,,,,,,,,,,,,,,,,,
11.0,f,,,,,,,,,,,,,,,,,,,,,,,,
12.0,0.0,44.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,s,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,s,104.0,64.0,66.0,,,,,,,,,,,,,,,,,,,,,
16.0,f,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,,28.0,30.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,,,,,0,,,,,,,,,,,,,,,,,,,
20.0,,,,,,0,,,,,,,,,,,,,,,,,,,
21.0,,,,,,0,,,,,,,,,,,,,,,,,,,
22.0,,,,,,0,,,,,,,,,,,,,,,,,,,
23.0,0.0,,,,,0,,,,,,,,,,,,,,,,,,,
24.0,s,25.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,s,67.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,80.0,22.0,,,,,,,,,,,,,,,,,,,,,,
27.0,,,,,,0,,,,,,,,,,,,,,,,,,,
28.0,0.0,,,,,0,,,,,,,,,,,,,,,,,,,
29.0,,,,,,0,,,,,,,,,,,,,,,,,,,
30.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,,38.0,46.0,,,,,,,,,,,,,,,,,,,,,,
32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,,,,,0,,,,,,,,,,,,,,,,,,,
34.0,s,35.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,s,36.0,,,,,,,,,,,,,,,,,,,,,,,
