page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,
3.0,f,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,f,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,13.0,19.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,s,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,s,17.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,,42.0,20.0,,,,,,,,,,,,,,,,,,,,,,
17.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,f,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,,,,0,,,,,,,,,,,,,,,,,,,,
20.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,,,,0,,,,,,,,,,,,,,,,,,,,
22.0,s,23.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,s,24.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,,69.0,27.0,,,,,,,,,,,,,,,,,,,,,,
25.0,f,,,,,,,,,,,,,,,,,,,,,,,,
26.0,f,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,30.0,76.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,,,,0,,,,,,,,,,,,,,,,,,,,
29.0,,32.0,74.0,,,,,,,,,,,,,,,,,,,,,,
30.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,f,,,,,,,,,,,,,,,,,,,,,,,,
32.0,,109.0,83.0,,,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
36.0,s,37.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,s,106.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,,70.0,40.0,,,,,,,,,,,,,,,,,,,,,,
39.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,
40.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,,39.0,86.0,,,,,,,,,,,,,,,,,,,,,,
42.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
43.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,
44.0,f,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,80.0,94.0,,,,,,,,,,,,,,,,,,,,,,
46.0,s,47.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,s,48.0,,,,,,,,,,,,,,,,,,,,,,,
48.0,,50.0,92.0,,,,,,,,,,,,,,,,,,,,,,
49.0,0.0,52.0,,,,,,,,,,,,,,,,,,,,,,,
50.0,,43.0,100.0,,,,,,,,,,,,,,,,,,,,,,
51.0,f,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,98.0,55.0,,,,,,,,,,,,,,,,,,,,,,
53.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,
54.0,f,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,57.0,,,,,,,,,,,,,,,,,,,,,,,
56.0,,110.0,58.0,,,,,,,,,,,,,,,,,,,,,,
57.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,
58.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,
59.0,,53.0,101.0,,,,,,,,,,,,,,,,,,,,,,
60.0,,84.0,,,,,,,,,,,,,,,,,,,,,,,
61.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,
62.0,f,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,
64.0,,61.0,102.0,,,,,,,,,,,,,,,,,,,,,,
65.0,,,,,0,,,,,,,,,,,,,,,,,,,,
66.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,
67.0,f,,,,,,,,,,,,,,,,,,,,,,,,
68.0,,65.0,60.0,,,,,,,,,,,,,,,,,,,,,,
69.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,
70.0,,,,,0,,,,,,,,,,,,,,,,,,,,
71.0,,96.0,108.0,,,,,,,,,,,,,,,,,,,,,,
72.0,f,,,,,,,,,,,,,,,,,,,,,,,,
73.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,
74.0,,28.0,78.0,,,,,,,,,,,,,,,,,,,,,,
75.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,
76.0,0.0,77.0,,,,,,,,,,,,,,,,,,,,,,,
77.0,,,,,0,,,,,,,,,,,,,,,,,,,,
78.0,,87.0,82.0,,,,,,,,,,,,,,,,,,,,,,
79.0,f,,,,,,,,,,,,,,,,,,,,,,,,
80.0,,81.0,,,,,,,,,,,,,,,,,,,,,,,
81.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
82.0,,85.0,,,,,,,,,,,,,,,,,,,,,,,
83.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,
84.0,,,,,0,,,,,,,,,,,,,,,,,,,,
85.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,
86.0,,,,,0,,,,,,,,,,,,,,,,,,,,
87.0,,91.0,,,,,,,,,,,,,,,,,,,,,,,
88.0,,,,,0,,,,,,,,,,,,,,,,,,,,
89.0,,,,,0,,,,,,,,,,,,,,,,,,,,
90.0,f,,,,,,,,,,,,,,,,,,,,,,,,
91.0,,,,,0,,,,,,,,,,,,,,,,,,,,
92.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,
93.0,,103.0,97.0,,,,,,,,,,,,,,,,,,,,,,
94.0,,,,,0,,,,,,,,,,,,,,,,,,,,
95.0,f,,,,,,,,,,,,,,,,,,,,,,,,
96.0,,,,,0,,,,,,,,,,,,,,,,,,,,
97.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,
98.0,,,,,0,,,,,,,,,,,,,,,,,,,,
99.0,f,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,0,,,,,,,,,,,,,,,,,,,,
101.0,,,,,0,,,,,,,,,,,,,,,,,,,,
102.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
103.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,s,105.0,,,,,,,,,,,,,,,,,,,,,,,
