page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,s,5.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,s,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,f,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,f,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,114.0,7.0,,,,,,,,,,,,,,,,,,,,,,
11.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,,59.0,27.0,,,,,,,,,,,,,,,,,,,,,,
13.0,f,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,42.0,16.0,,,,,,,,,,,,,,,,,,,,,,
15.0,,81.0,102.0,,,,,,,,,,,,,,,,,,,,,,
16.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,s,19.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,s,23.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,,61.0,25.0,,,,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,,105.0,33.0,,,,,,,,,,,,,,,,,,,,,,
24.0,f,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,98.0,69.0,,,,,,,,,,,,,,,,,,,,,,
27.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,,40.0,110.0,,,,,,,,,,,,,,,,,,,,,,
30.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,s,35.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,s,48.0,,,,,,,,,,,,,,,,,,,,,,,
