page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
0.0,s,,,,,,,,,,,,,,,,,,,,,,,,
1.0,s,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,
4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,f,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,17.0,26.0,,,,,,,,,,,,,,,,,,,,,,
14.0,f,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,
17.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,83.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,,19.0,40.0,,,,,,,,,,,,,,,,,,,,,,
24.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
25.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,0.0,31.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,,,0,,,,,,,,,,,,,,,,,,,,,
