page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,s,,,,,,,,,,,,,,,,,,,,,,,,
3.0,s,5.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,,,,0,,,,,,,,,,,,,,,,,,,,,
5.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,f,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,37.0,12.0,,,,,,,,,,,,,,,,,,,,,,
9.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,s,16.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,s,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,28.0,14.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,19.0,22.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,70.0,31.0,,,,,,,,,,,,,,,,,,,,,,
17.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
18.0,,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,27.0,29.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,42.0,32.0,,,,,,,,,,,,,,,,,,,,,,
21.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,,45.0,33.0,,,,,,,,,,,,,,,,,,,,,,
25.0,,,,0,,,,,,,,,,,,,,,,,,,,,
26.0,f,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,,,0,,,,,,,,,,,,,,,,,,,,,
29.0,,,,0,,,,,,,,,,,,,,,,,,,,,
30.0,,43.0,76.0,,,,,,,,,,,,,,,,,,,,,,
31.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,s,35.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,s,39.0,63.0,,,,,,,,,,,,,,,,,,,,,,
