page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,f,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,f,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,27.0,94.0,,,,,,,,,,,,,,,,,,,,,,
7.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,f,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,12.0,17.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,62.0,100.0,,,,,,,,,,,,,,,,,,,,,,
12.0,,15.0,25.0,,,,,,,,,,,,,,,,,,,,,,
13.0,f,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,f,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,,4.0,64.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,,114.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,f,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,0,,,,,,,,,,,,,,,,,,,,,
24.0,,,,0,,,,,,,,,,,,,,,,,,,,,
25.0,,38.0,74.0,,,,,,,,,,,,,,,,,,,,,,
26.0,f,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,,,0,,,,,,,,,,,,,,,,,,,,,
28.0,,72.0,47.0,,,,,,,,,,,,,,,,,,,,,,
29.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
