page,illo,c1,c2,c3,c4,details,death,bad,ok,good,win,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,f,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,9.0,11.0,,,,,,,,,,,,,,,,,,,,,,
6.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,f,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,15.0,20.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,14.0,7.0,25.0,28.0,,,,,,,,,,,,,,,,,,,,
14.0,,25.0,7.0,28.0,,,,,,,,,,,,,,,,,,,,,
15.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,s,17.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,s,10.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,
19.0,f,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,33.0,29.0,,,,,,,,,,,,,,,,,,,,,,
22.0,,39.0,44.0,,,,,,,,,,,,,,,,,,,,,,
23.0,f,,,,,,,,,,,,,,,,,,,,,,,,
24.0,f,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,46.0,51.0,,,,,,,,,,,,,,,,,,,,,,
27.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,,,,,,0,,x,,,,,,,,,,,,,,,,,
30.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,f,,,,,,,,,,,,,,,,,,,,,,,,
32.0,,40.0,37.0,,,,,,,,,,,,,,,,,,,,,,
33.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,,84.0,94.0,,,,,,,,,,,,,,,,,,,,,,
36.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,f,,,,,,,,,,,,,,,,,,,,,,,,
39.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,
40.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,
42.0,,47.0,49.0,,,,,,,,,,,,,,,,,,,,,,
43.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,
44.0,s,45.0,,,,,,,,,,,,,,,,,,,,,,,
45.0,s,,,,,0,x,,,,,,,,,,,,,,,,,,
46.0,,62.0,58.0,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,,0,,x,,,,,,,,,,,,,,,,,
48.0,f,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,65.0,59.0,,,,,,,,,,,,,,,,,,,,,,
50.0,,56.0,55.0,,,,,,,,,,,,,,,,,,,,,,
51.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,
52.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,
53.0,,,,,,0,,,x,,,,,,,,,,,,,,,,
54.0,0.0,,,,,0,,x,,,,,,,,,,,,,,,,,
55.0,0.0,,,,,0,x,,,,,,,,,,,,,,,,,,
56.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,
57.0,f,,,,,,,,,,,,,,,,,,,,,,,,
58.0,0.0,,,,,0,x,,,,,,,,,,,,,,,,,,
59.0,,97.0,,,,,,,,,,,,,,,,,,,,,,,
60.0,,76.0,70.0,,,,,,,,,,,,,,,,,,,,,,
61.0,f,,,,,,,,,,,,,,,,,,,,,,,,
62.0,s,63.0,,,,,,,,,,,,,,,,,,,,,,,
63.0,s,64.0,,,,,,,,,,,,,,,,,,,,,,,
64.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,
65.0,0.0,83.0,,,,,,,,,,,,,,,,,,,,,,,
66.0,,,,,,0,,x,,,,,,,,,,,,,,,,,
67.0,f,,,,,,,,,,,,,,,,,,,,,,,,
68.0,,,,,,0,x,,,,,,,,,,,,,,,,,,
69.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,
70.0,0.0,77.0,79.0,,,,,,,,,,,,,,,,,,,,,,
71.0,,72.0,,,,,,,,,,,,,,,,,,,,,,,
72.0,s,73.0,,,,,,,,,,,,,,,,,,,,,,,
73.0,s,74.0,,,,,,,,,,,,,,,,,,,,,,,
74.0,,89.0,95.0,,,,,,,,,,,,,,,,,,,,,,
75.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,
76.0,,91.0,96.0,,,,,,,,,,,,,,,,,,,,,,
77.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,
78.0,,,,,,0,,x,,,,,,,,,,,,,,,,,
79.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,
80.0,s,81.0,,,,,,,,,,,,,,,,,,,,,,,
81.0,s,82.0,,,,,,,,,,,,,,,,,,,,,,,
82.0,,86.0,90.0,,,,,,,,,,,,,,,,,,,,,,
83.0,,111.0,114.0,,,,,,,,,,,,,,,,,,,,,,
84.0,,85.0,,,,,,,,,,,,,,,,,,,,,,,
85.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,
86.0,,,,,,0,x,,,,,,,,,,,,,,,,,,
87.0,f,,,,,,,,,,,,,,,,,,,,,,,,
88.0,,109.0,,,,,,,,,,,,,,,,,,,,,,,
89.0,,,,,,0,,,,x,,,,,,,,,,,,,,,
90.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,
91.0,0.0,,,,,0,,x,,,,,,,,,,,,,,,,,
92.0,f,,,,,,,,,,,,,,,,,,,,,,,,
93.0,,53.0,,,,,,,,,,,,,,,,,,,,,,,
94.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
95.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,
96.0,,66.0,52.0,,,,,,,,,,,,,,,,,,,,,,
97.0,,,,,,0,x,,,,,,,,,,,,,,,,,,
98.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,f,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,f,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,110.0,104.0,,,,,,,,,,,,,,,,,,,,,,
104.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,0.0,,,,,0,,,,,x,,,,,,,,,,,,,,
106.0,,,,,,0,,,,x,,,,,,,,,,,,,,,
107.0,,,,,,0,,,,x,,,,,,,,,,,,,,,
108.0,0.0,,,,,0,,,,x,,,,,,,,,,,,,,,
109.0,,,,,,0,,,,x,,,,,,,,,,,,,,,
110.0,,,,,,0,,x,,,,,,,,,,,,,,,,,
111.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
112.0,s,113.0,,,,,,,,,,,,,,,,,,,,,,,
113.0,s,,,,,0,,x,,,,,,,,,,,,,,,,,
114.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,
115.0,0.0,,,,,0,,,,x,,,,,,,,,,,,,,,
116.0,,,,,,0,,,x,,,,,,,,,,,,,,,,
