page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,f,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
6.0,s,7.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,s,55.0,21.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,,,,0,,,,,,,,,,,,,,,,,,,,
9.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,12.0,16.0,6.0,,,,,,,,,,,,,,,,,,,,,
12.0,s,13.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,s,18.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,51.0,30.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,38.0,76.0,,,,,,,,,,,,,,,,,,,,,,
17.0,f,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,88.0,79.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,,112.0,64.0,,,,,,,,,,,,,,,,,,,,,,
21.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
24.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,100.0,77.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,33.0,14.0,69.0,,,,,,,,,,,,,,,,,,,,,
27.0,f,,,,,,,,,,,,,,,,,,,,,,,,
28.0,,36.0,97.0,,,,,,,,,,,,,,,,,,,,,,
29.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
