page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,34.0,27.0,,,,,,,,,,,,,,,,,,,,,,
4.0,s,,,,,,,,,,,,,,,,,,,,,,,,
5.0,s,11.0,8.0,,,,,,,,,,,,,,,,,,,,,,
6.0,,12.0,14.0,,,,,,,,,,,,,,,,,,,,,,
7.0,f,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,
12.0,,32.0,51.0,,,,,,,,,,,,,,,,,,,,,,
13.0,f,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,25.0,36.0,,,,,,,,,,,,,,,,,,,,,,
15.0,,76.0,38.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,,20.0,9.0,,,,,,,,,,,,,,,,,,,,,,
18.0,f,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,f,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,50.0,69.0,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,0,,,,,,,,,,,,,,,,,,,,,
25.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,f,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,,44.0,49.0,,,,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,36.0,35.0,,,,,,,,,,,,,,,,,,,,,,
32.0,,41.0,102.0,,,,,,,,,,,,,,,,,,,,,,
33.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,,,,0,,,,,,,,,,,,,,,,,,,,,
35.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,
