page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,60.0,64.0,,,,,,,,,,,,,,,,,,,,,,
4.0,f,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,,,,0,,,,,,,,,,,,,,,,,,,,,
7.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,14.0,28.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,38.0,92.0,,,,,,,,,,,,,,,,,,,,,,
11.0,f,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,6.0,73.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,,,0,,,,,,,,,,,,,,,,,,,,,
14.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,s,19.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,s,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,23.0,42.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,f,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,45.0,111.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,f,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,15.0,90.0,,,,,,,,,,,,,,,,,,,,,,
31.0,,51.0,66.0,,,,,,,,,,,,,,,,,,,,,,
32.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,10.0,23.0,,,,,,,,,,,,,,,,,,,,,,
35.0,,,,0,,,,,,,,,,,,,,,,,,,,,
36.0,f,,,,,,,,,,,,,,,,,,,,,,,,
