page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
4.0,,108.0,65.0,,,,,,,,,,,,,,,,,,,,,,
5.0,,,,,0,,,,,,,,,,,,,,,,,,,,
6.0,f,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,110.0,68.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,s,11.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,s,12.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,,77.0,50.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,42.0,78.0,,,,,,,,,,,,,,,,,,,,,,
14.0,f,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,f,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,,,,,0,,,,,,,,,,,,,,,,,,,,
20.0,f,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,,,,,0,,,,,,,,,,,,,,,,,,,,
23.0,f,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,51.0,48.0,,,,,,,,,,,,,,,,,,,,,,
25.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,22.0,38.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,84.0,87.0,,,,,,,,,,,,,,,,,,,,,,
29.0,f,,,,,,,,,,,,,,,,,,,,,,,,
30.0,0.0,31.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,f,,,,,,,,,,,,,,,,,,,,,,,,
35.0,,44.0,76.0,,,,,,,,,,,,,,,,,,,,,,
