page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,s,,,,,,,,,,,,,,,,,,,,,,,,
3.0,s,5.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,,91.0,13.0,,,,,,,,,,,,,,,,,,,,,,
5.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,f,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,97.0,20.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,31.0,82.0,,,,,,,,,,,,,,,,,,,,,,
10.0,s,,,0,,,,,,,,,,,,,,,,,,,,,
11.0,s,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,30.0,18.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,f,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,,59.0,32.0,,,,,,,,,,,,,,,,,,,,,,
18.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,,117.0,45.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,,,0,,,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,70.0,35.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,f,,,,,,,,,,,,,,,,,,,,,,,,
28.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,,100.0,54.0,,,,,,,,,,,,,,,,,,,,,,
30.0,,62.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,80.0,48.0,,,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,114.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
