page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,6.0,36.0,,,,,,,,,,,,,,,,,,,,,,
3.0,,52.0,45.0,,,,,,,,,,,,,,,,,,,,,,
4.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,f,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,8.0,85.0,,,,,,,,,,,,,,,,,,,,,,
7.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,f,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,79.0,81.0,,,,,,,,,,,,,,,,,,,,,,
12.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,16.0,62.0,,,,,,,,,,,,,,,,,,,,,,
14.0,f,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,12.0,80.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,,60.0,88.0,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
19.0,,,,,0,,,,,,,,,,,,,,,,,,,,
20.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,,,,0,,,,,,,,,,,,,,,,,,,,
22.0,,,,,0,,,,,,,,,,,,,,,,,,,,
23.0,f,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,,0,,,,,,,,,,,,,,,,,,,,
25.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,32.0,114.0,86.0,,,,,,,,,,,,,,,,,,,,,
28.0,f,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,,,,0,,,,,,,,,,,,,,,,,,,,
30.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,,39.0,96.0,,,,,,,,,,,,,,,,,,,,,,
32.0,,,,,0,,,,,,,,,,,,,,,,,,,,
33.0,,40.0,87.0,,,,,,,,,,,,,,,,,,,,,,
