page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,f,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,5.0,21.0,,,,,,,,,,,,,,,,,,,,,,
4.0,,16.0,40.0,,,,,,,,,,,,,,,,,,,,,,
5.0,,8.0,24.0,,,,,,,,,,,,,,,,,,,,,,
6.0,,48.0,60.0,,,,,,,,,,,,,,,,,,,,,,
7.0,f,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,12.0,35.0,,,,,,,,,,,,,,,,,,,,,,
9.0,,59.0,75.0,,,,,,,,,,,,,,,,,,,,,,
10.0,f,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,,,,0,,,,,,,,,,,,,,,,,,,,
12.0,,6.0,25.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,,,,0,,,,,,,,,,,,,,,,,,,,
14.0,,114.0,112.0,,,,,,,,,,,,,,,,,,,,,,
15.0,f,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,38.0,54.0,,,,,,,,,,,,,,,,,,,,,,
17.0,,,,,0,,,,,,,,,,,,,,,,,,,,
18.0,f,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,9.0,30.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,,,,0,,,,,,,,,,,,,,,,,,,,
21.0,,4.0,27.0,,,,,,,,,,,,,,,,,,,,,,
22.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
23.0,,80.0,33.0,,,,,,,,,,,,,,,,,,,,,,
24.0,,19.0,109.0,,,,,,,,,,,,,,,,,,,,,,
25.0,0.0,46.0,64.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,51.0,53.0,,,,,,,,,,,,,,,,,,,,,,
27.0,,41.0,110.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,56.0,71.0,,,,,,,,,,,,,,,,,,,,,,
29.0,f,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,43.0,63.0,,,,,,,,,,,,,,,,,,,,,,
31.0,,,,,0,,,,,,,,,,,,,,,,,,,,
32.0,,,,,0,,,,,,,,,,,,,,,,,,,,
