page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,,,,,0,,x,,,,,,,,,,,,,,,,,,
5.0,f,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,100.0,13.0,,,,,,,,,,,,,,,,,,,,,,
7.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,,,,0,,,,x,,,,,,,,,,,,,,,,
9.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,f,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,,94.0,109.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,81.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,f,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,60.0,91.0,,,,,,,,,,,,,,,,,,,,,,
17.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,,29.0,14.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,f,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,,33.0,51.0,,,,,,,,,,,,,,,,,,,,,,
23.0,,86.0,117.0,,,,,,,,,,,,,,,,,,,,,,
24.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,91.0,31.0,60.0,,,,,,,,,,,,,,,,,,,,,
26.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,f,,,,,,,,,,,,,,,,,,,,,,,,
28.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,,,,0,,,x,,,,,,,,,,,,,,,,,
33.0,,107.0,62.0,,,,,,,,,,,,,,,,,,,,,,
34.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,,,,,,,,,,,,,,,,,,,,,
