page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,f,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,21.0,47.0,,,,,,,,,,,,,,,,,,,,,,
6.0,f,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,103.0,14.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,36.0,13.0,,,,,,,,,,,,,,,,,,,,,,
11.0,,,,0,,,,,,,,,,,,,,,,,,,,,
12.0,f,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,22.0,46.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,f,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,,,0,,,,,,,,,,,,,,,,,,,,,
19.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,f,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,61.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,,,,0,,,,,,,,,,,,,,,,,,,,,
23.0,,67.0,26.0,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,0,,,,,,,,,,,,,,,,,,,,,
25.0,f,,,,,,,,,,,,,,,,,,,,,,,,
26.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,f,,,,,,,,,,,,,,,,,,,,,,,,
33.0,,,,0,,,,,,,,,,,,,,,,,,,,,
34.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,,53.0,,,,,,,,,,,,,,,,,,,,,,,
36.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,f,,,,,,,,,,,,,,,,,,,,,,,,
38.0,,86.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,,92.0,83.0,,,,,,,,,,,,,,,,,,,,,,
40.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,0,,,,,,,,,,,,,,,,,,,,,
42.0,,,,0,,,,,,,,,,,,,,,,,,,,,
43.0,f,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,
45.0,,19.0,28.0,,,,,,,,,,,,,,,,,,,,,,
46.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,,52.0,82.0,,,,,,,,,,,,,,,,,,,,,,
48.0,f,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,,,0,,,,,,,,,,,,,,,,,,,,,
50.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,
51.0,,58.0,98.0,,,,,,,,,,,,,,,,,,,,,,
52.0,,34.0,73.0,,,,,,,,,,,,,,,,,,,,,,
53.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,
54.0,f,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,
56.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,
57.0,,76.0,,,,,,,,,,,,,,,,,,,,,,,
58.0,0.0,59.0,,,,,,,,,,,,,,,,,,,,,,,
59.0,,65.0,,,,,,,,,,,,,,,,,,,,,,,
60.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,
61.0,,50.0,75.0,,,,,,,,,,,,,,,,,,,,,,
62.0,s,63.0,,,,,,,,,,,,,,,,,,,,,,,
63.0,s,72.0,,,,,,,,,,,,,,,,,,,,,,,
64.0,,57.0,106.0,,,,,,,,,,,,,,,,,,,,,,
65.0,,27.0,60.0,,,,,,,,,,,,,,,,,,,,,,
66.0,f,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,
68.0,,62.0,,,,,,,,,,,,,,,,,,,,,,,
69.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,
70.0,,,,0,,,,,,,,,,,,,,,,,,,,,
71.0,f,,,,,,,,,,,,,,,,,,,,,,,,
72.0,,95.0,,,,,,,,,,,,,,,,,,,,,,,
73.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,
74.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
75.0,,84.0,,,,,,,,,,,,,,,,,,,,,,,
76.0,,,,0,,,,,,,,,,,,,,,,,,,,,
77.0,f,,,,,,,,,,,,,,,,,,,,,,,,
78.0,,,,0,,,,,,,,,,,,,,,,,,,,,
79.0,,55.0,85.0,,,,,,,,,,,,,,,,,,,,,,
80.0,f,,,,,,,,,,,,,,,,,,,,,,,,
81.0,,94.0,,,,,,,,,,,,,,,,,,,,,,,
82.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,
83.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,
84.0,0.0,56.0,,,,,,,,,,,,,,,,,,,,,,,
85.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,
86.0,,40.0,81.0,,,,,,,,,,,,,,,,,,,,,,
87.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,
88.0,f,,,,,,,,,,,,,,,,,,,,,,,,
89.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
90.0,,7.0,35.0,,,,,,,,,,,,,,,,,,,,,,
91.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
92.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
