page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.0,4.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,
4.0,s,11.0,26.0,,,,,,,,,,,,,,,,,,,,,,
5.0,s,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,13.0,18.0,21.0,,,,,,,,,,,,,,,,,,,,,
7.0,f,,,,,,,,,,,,,,,,,,,,,,,,
8.0,s,9.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,s,45.0,22.0,,,,,,,,,,,,,,,,,,,,,,
10.0,f,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,25.0,12.0,,,,,,,,,,,,,,,,,,,,,,
12.0,0.0,18.0,36.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,f,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,,,,0,,,,,,,,,,,,,,,,,,,,
16.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
17.0,s,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,30.0,32.0,,,,,,,,,,,,,,,,,,,,,,
19.0,f,,,,,,,,,,,,,,,,,,,,,,,,
20.0,f,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,27.0,29.0,,,,,,,,,,,,,,,,,,,,,,
22.0,,51.0,52.0,,,,,,,,,,,,,,,,,,,,,,
23.0,f,,,,,,,,,,,,,,,,,,,,,,,,
24.0,s,,,,,,,,,,,,,,,,,,,,,,,,
25.0,s,34.0,8.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
28.0,s,,,,,,,,,,,,,,,,,,,,,,,,
29.0,s,42.0,41.0,,,,,,,,,,,,,,,,,,,,,,
30.0,0.0,31.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
32.0,s,33.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
34.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
36.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,0.0,38.0,48.0,,,,,,,,,,,,,,,,,,,,,,
38.0,s,40.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,s,,,,,,,,,,,,,,,,,,,,,,,,
40.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
41.0,0.0,44.0,,,,,,,,,,,,,,,,,,,,,,,
42.0,,,,,0,,,,,,,,,,,,,,,,,,,,
43.0,f,,,,,,,,,,,,,,,,,,,,,,,,
44.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
45.0,0.0,46.0,,,,,,,,,,,,,,,,,,,,,,,
46.0,s,47.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
48.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,
49.0,f,,,,,,,,,,,,,,,,,,,,,,,,
50.0,f,,,,,,,,,,,,,,,,,,,,,,,,
51.0,,,,,0,,,,,,,,,,,,,,,,,,,,
52.0,s,53.0,,,,,,,,,,,,,,,,,,,,,,,
53.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
54.0,f,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,,,,0,,,,,,,,,,,,,,,,,,,,
