page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,f,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,
3.0,f,,,,,,,,,,,,,,,,,,,,,,,,
4.0,f,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,
5.0,0.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,
6.0,0.0,16.0,17.0,,,,,,,,,,,,,,,,,,,,,,
7.0,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,f,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,18.0,19.0,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,0.0,20.0,22.0,,,,,,,,,,,,,,,,,,,,,,
13.0,0.0,23.0,24.0,,,,,,,,,,,,,,,,,,,,,,
14.0,s,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,s,41.0,42.0,,,,,,,,,,,,,,,,,,,,,,
16.0,0.0,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,
17.0,f,31.0,32.0,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,36.0,37.0,,,,,,,,,,,,,,,,,,,,,,
19.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,s,46.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,s,,,,,,,,,,,,,,,,,,,,,,,,
22.0,0.0,48.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,0.0,50.0,51.0,,,,,,,,,,,,,,,,,,,,,,
24.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,f,,,,,,,,,,,,,,,,,,,,,,,,
26.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
27.0,0.0,45.0,38.0,,,,,,,,,,,,,,,,,,,,,,
28.0,f,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,54.0,56.0,,,,,,,,,,,,,,,,,,,,,,
30.0,f,34.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,,,,,0,,,,,,,,,,,,,,,,,,,,
32.0,,,,,0,,,,,,,,,,,,,,,,,,,,
33.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
34.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,0,,,,,,,,,,,,,,,,,,,,
36.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
37.0,,,,,0,,,,,,,,,,,,,,,,,,,,
38.0,s,39.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
40.0,0.0,14.0,27.0,30.0,,,,,,,,,,,,,,,,,,,,,
41.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
42.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
43.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
44.0,f,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,,,,0,,,,,,,,,,,,,,,,,,,,
46.0,s,47.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,s,43.0,,,,,,,,,,,,,,,,,,,,,,,
48.0,f,49.0,,,,,,,,,,,,,,,,,,,,,,,
49.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
50.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
51.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
52.0,s,53.0,,,,,,,,,,,,,,,,,,,,,,,
53.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
54.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
55.0,s,,,,,,,,,,,,,,,,,,,,,,,,
56.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
