page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,
3.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,s,5.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,s,6.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,f,14.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,28.0,17.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,f,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,18.0,19.0,,,,,,,,,,,,,,,,,,,,,,
12.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,f,,,,,,,,,,,,,,,,,,,,,,,,
14.0,s,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,s,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,
16.0,f,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,s,21.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,s,7.0,33.0,,,,,,,,,,,,,,,,,,,,,,
22.0,f,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,29.0,39.0,,,,,,,,,,,,,,,,,,,,,,
24.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,48.0,41.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,,,,0,,,,,,,,,,,,,,,,,,,,
27.0,f,,,,,,,,,,,,,,,,,,,,,,,,
28.0,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,s,31.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
32.0,f,,,,,,,,,,,,,,,,,,,,,,,,
33.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,,,,,,,,,,,,,,,,,,,,,
36.0,,52.0,44.0,,,,,,,,,,,,,,,,,,,,,,
37.0,f,,,,,,,,,,,,,,,,,,,,,,,,
38.0,f,,,,,,,,,,,,,,,,,,,,,,,,
39.0,0.0,,40.0,,,,,,,,,,,,,,,,,,,,,,
40.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,
41.0,,,42.0,,,,,,,,,,,,,,,,,,,,,,
42.0,s,,43.0,,,,,,,,,,,,,,,,,,,,,,
43.0,s,,45.0,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,,0,,,,,,,,,,,,,,,,,,,,
45.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
46.0,,,,,0,,,,,,,,,,,,,,,,,,,,
47.0,f,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,,,0,,,,,,,,,,,,,,,,,,,,
49.0,f,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,,,0,,,,,,,,,,,,,,,,,,,,
51.0,f,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,,,,0,,,,,,,,,,,,,,,,,,,,
53.0,f,,,,,,,,,,,,,,,,,,,,,,,,
