page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,
3.0,f,,,,,,,,,,,,,,,,,,,,,,,,
4.0,f,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,
6.0,s,7.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,s,14.0,16.0,,,,,,,,,,,,,,,,,,,,,,
8.0,f,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,
10.0,s,11.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,s,12.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,
13.0,f,,,,,,,,,,,,,,,,,,,,,,,,
14.0,s,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,s,27.0,29.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,30.0,54.0,,,,,,,,,,,,,,,,,,,,,,
17.0,f,,,,,,,,,,,,,,,,,,,,,,,,
18.0,f,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,,,,0,,,,,,,,,,,,,,,,,,,,
20.0,,,,,0,,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,s,23.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,s,36.0,34.0,,,,,,,,,,,,,,,,,,,,,,
24.0,s,25.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,s,38.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,f,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,44.0,46.0,,,,,,,,,,,,,,,,,,,,,,
28.0,f,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,50.0,52.0,,,,,,,,,,,,,,,,,,,,,,
30.0,s,31.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
32.0,,,,,0,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,,,,0,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,,,,,,,,,,,,,,,,,,,,,
36.0,s,37.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
38.0,s,39.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,s,40.0,42.0,,,,,,,,,,,,,,,,,,,,,,
40.0,s,41.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
42.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,
43.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
44.0,,,,,0,,,,,,,,,,,,,,,,,,,,
45.0,f,,,,,,,,,,,,,,,,,,,,,,,,
46.0,s,49.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,s,,,,,,,,,,,,,,,,,,,,,,,,
48.0,s,,,,,,,,,,,,,,,,,,,,,,,,
49.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
50.0,,,,,0,,,,,,,,,,,,,,,,,,,,
51.0,f,,,,,,,,,,,,,,,,,,,,,,,,
52.0,s,53.0,,,,,,,,,,,,,,,,,,,,,,,
53.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
54.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,
