page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2.0,,6.0,22.0,,,,,,,,,,,,,,,,,,,,,,
3.0,f,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,11.0,12.0,14.0,,,,,,,,,,,,,,,,,,,,,
5.0,f,,,,,,,,,,,,,,,,,,,,,,,,
6.0,s,7.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,s,8.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,s,9.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,s,16.0,18.0,,,,,,,,,,,,,,,,,,,,,,
10.0,f,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,,,,0,,,,,,,,,,,,,,,,,,,,
12.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,
15.0,f,,,,,,,,,,,,,,,,,,,,,,,,
16.0,s,17.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,s,21.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,f,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,47.0,30.0,,,,,,,,,,,,,,,,,,,,,,
21.0,,,,,0,,,,,,,,,,,,,,,,,,,,
22.0,,32.0,34.0,,,,,,,,,,,,,,,,,,,,,,
23.0,f,,,,,,,,,,,,,,,,,,,,,,,,
24.0,s,25.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,s,29.0,48.0,,,,,,,,,,,,,,,,,,,,,,
26.0,s,27.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,s,40.0,44.0,,,,,,,,,,,,,,,,,,,,,,
28.0,f,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,,,,0,,,,,,,,,,,,,,,,,,,,
30.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,f,,,,,,,,,,,,,,,,,,,,,,,,
32.0,,,,,0,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,s,35.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,s,36.0,,,,,,,,,,,,,,,,,,,,,,,
36.0,,38.0,52.0,,,,,,,,,,,,,,,,,,,,,,
37.0,f,,,,,,,,,,,,,,,,,,,,,,,,
38.0,s,39.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,s,50.0,42.0,,,,,,,,,,,,,,,,,,,,,,
40.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
42.0,,,,,0,,,,,,,,,,,,,,,,,,,,
43.0,f,,,,,,,,,,,,,,,,,,,,,,,,
44.0,s,45.0,,,,,,,,,,,,,,,,,,,,,,,
45.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
46.0,f,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,0,,,,,,,,,,,,,,,,,,,,
48.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
49.0,s,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,,,0,,,,,,,,,,,,,,,,,,,,
51.0,f,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,,,,0,,,,,,,,,,,,,,,,,,,,
53.0,f,,,,,,,,,,,,,,,,,,,,,,,,
