page,illo,c1,c2,c3,c4,details,death,bad,ok,good,win,,,,,,,,,,,,,,
0.0,s,,,,,,,,,,,,,,,,,,,,,,,,
1.0,s,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,52.0,51.0,,,,,,,,,,,,,,,,,,,,,,
4.0,,50.0,8.0,,,,,,,,,,,,,,,,,,,,,,
5.0,f,,,,,,,,,,,,,,,,,,,,,,,,
6.0,f,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,12.0,20.0,14.0,23.0,,,,,,,,,,,,,,,,,,,,
8.0,s,10.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,s,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,22.0,26.0,24.0,17.0,,,,,,,,,,,,,,,,,,,,
11.0,f,,,,,,,,,,,,,,,,,,,,,,,,
12.0,s,13.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,s,18.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,,,,,0,,,,,,,,,,,,,,,,,,,
15.0,f,,,,,,,,,,,,,,,,,,,,,,,,
16.0,f,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,44.0,48.0,,,,,,,,,,,,,,,,,,,,,,
18.0,s,19.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,s,28.0,32.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,,,,,0,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,0.0,,,,,0,,,,,,,,,,,,,,,,,,,
24.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,0.0,41.0,43.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,,,,,0,,,,,,,,,,,,,,,,,,,
27.0,f,,,,,,,,,,,,,,,,,,,,,,,,
28.0,s,29.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,s,,,,,0,,,,,,,,,,,,,,,,,,,
30.0,,34.0,38.0,,,,,,,,,,,,,,,,,,,,,,
31.0,f,,,,,,,,,,,,,,,,,,,,,,,,
32.0,s,33.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,s,37.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,s,,,,,0,,,,,,,,,,,,,,,,,,,
35.0,s,,,,,,,,,,,,,,,,,,,,,,,,
36.0,f,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,s,39.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,s,,,,,0,,,,,,,,,,,,,,,,,,,
40.0,f,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,,0,,,,,,,,,,,,,,,,,,,
42.0,s,,,,,,,,,,,,,,,,,,,,,,,,
43.0,s,47.0,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,,,0,,,,,,,,,,,,,,,,,,,
45.0,f,,,,,,,,,,,,,,,,,,,,,,,,
46.0,f,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,,0,,,,,,,,,,,,,,,,,,,
48.0,s,49.0,,,,,,,,,,,,,,,,,,,,,,,
49.0,s,51.0,3.0,,,,,,,,,,,,,,,,,,,,,,
50.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
51.0,0.0,,,,,0,,,,,,,,,,,,,,,,,,,
52.0,,,,,,0,,,,,,,,,,,,,,,,,,,
53.0,f,,,,,,,,,,,,,,,,,,,,,,,,
