pos,seq,section,subsection,pages,notes,year,month,date,head,subhead,capsule,plotlines,themes
1,196,1,1,3-10,,2010,11,November Y.G.,I am in here,Admissions Interview,Hal’s interview with University of Arizona deans. Questions regarding Hal’s rather stellar record.,Hal,"Recur, Inf/Reg, Isolation"
2,4,1,2,10-11,,1997,,November Y.G.,I ate this,,Hal eating the mold (at age 4 or 5).,"Hal, Orin, Avril","Fear/Obsess, Cycles, Waste, Memory"
3,197,1,3,11-13,,2010,11,November Y.G.,I am not just a boy who plays tennis,"Admissions Interview, cont.","Hal attempts to explain his record to the deans, but is unable because of his affliction. In his internal monologue we meet someone much more expressive and self-aware than the anhedonic Hal we know for much of the book.",Hal,Phys/Ob
4,198,1,4,13-15,,2010,11,November Y.G.,"I simply lie there, listening",Hal on restroom floor,Hal is restrained in a U of AZ men’s room.,Hal,"Recur, Cycles, Inf/Reg, Waste, Isolation, Time"
5,199,1,5,15-17,,2010,11,November Y.G.,I have become an infantophile,So yo then man what’s your story?,"Hal is taken away in an ambulance. Hal remembers himself, Gately, and John Wayne at his father’s grave in Quebec. Evidently after the AFR arrive at ETA some folks are kidnapped and at an unspecified time brought up to Quebec to try to find the samizdat master.",Hal,"Recur, Inf/Reg"
6,28,2,,17-27,1,2009,,early Y.D.A.U.,An immobility that seemed like the gathering of a force,,"Ken Erdedy, preparing for a marijuana binge, waits for a woman to deliver the goods.",AA&R,"Recur, Fear/Obsess, Cycles, Inf/Reg, Secrets, Waste, Isolation, Non-Action, Loss"
7,9,3,,27-31,,2003,4,1 April Y.T.M.P.,"Are you hearing me talking, Dad?",A Professional Conversationalist,10-year-old Hal goes to see a therapist; it turns out to be his father in disguise. James Incandenza tells Hal that his tennis racket contains identical materials as the entertainment cartridge implanted in his head.,"Hal, Jim","Recur, Fear/Obsess, Secrets, His/Father"
8,58,4,,32-33,,2009,5,9 May Y.D.A.U.,The connection was cut,Orin’s phone call rouses Mario,"Hal, now 16, gets a phone call from Orin. Mario wakes up.","Hal, Mario, Orin","Recur, Secrets, His/Father"
9,39,5,1,33-37,,2009,4,1 April Y.D.A.U.,Without having to remove his eyes,Medical Attaché & mystery TP cartridge,The near-eastern medical attaché comes home to relax and watch some TP.,"Samizdat, Tech","Recur, Cycles, Inf/Reg"
10,10,5,2,37-38,,2004,,Y.T-S.D.B.,Sick down in my insides to look at it,"Wardine, Roy Tony, and Reginald","Clenette narrates, tells a tale about her friend Wardine’s abusive family",AA&R,"Recur, Cycles, Fear/Obsess, His/Father"
11,20,5,3,38-39,,2008,,1980s,A vision in a sundress and silly shoes,,The tale of Bruce Green and Mildred Bonk.,AA&R,"Recur, Waste, Phys/Ob"
12,29,6,1,39-42,,2009,,early Y.D.A.U.,From either side of some unbridgeable difference,Hal and Mario talk God and don’t sleep,Hal and Mario in their room at night. They discuss Himself’s funeral and the Moms. Mario says the Moms seems happier. Hal disagrees and tells him to picture a flagpole raised to twice its height.,"Hal, Mario, Avril","Fear/Obsess, His/Father, Isolation, Loss"
13,40,6,2,42,,2009,4,"1 April Y.D.A.U., 2010h.",Still watching,Medical Attache update #1,The medical attaché is still watching... (Just one sentence.),Samizdat,"Isolation, Non-Action"
14,62,6,3,42-49,2,2009,10,October Y.D.A.U.,A kind of dessicated circle,Orin wakes. Slowly.,"Orin wakes up in Arizona, last night’s “Subject” is gone.",Orin,"Recur, Fear/Obsess, Dreams"
15,63,7,1,49-54,3-10,2009,10,October Y.D.A.U.,Attached to the secrecy,ETA Physical Plant/Pump Room/Hal’s Secrecy,Hal getting secretly high in the basement of Enfield Tennis Academy.,"E.T.A., AA&R, Hal","Recur, Fear/Obsess, Cycles, Secrets, Isolation"
16,41,7,2,54,11,2009,4,"2 April Y.D.A.U., 0015h.-0020h.","He sits there, attached",Medical Attache update #2,The medical attaché has not moved an inch.,Samizdat,"Cycles, Fear/Obsess, Waste, Isolation, Non-Action"
17,59,7,3,54-55,,2009,5,May Y.D.A.U.,Show the tapes,,Mario’s A/V duties,"E.T.A., Mario","Cycles, His/Father"
18,18,7,4,55-60,12-20,2008,10,Autumn Y.D.P.A.H.,Bound to his chair,Botched DuPlessis Burglary,Don Gately’s criminal career comes to an end after accidentally murdering a Canadian VIP during a robbery. This VIP has ties to various anti-O.N.A.N. groups.,"AA&R, A.F.R., Gately, O.N.A.N.","Recur, Fear/Obsess, Inf/Reg"
19,30,7,5,60,,2009,,early Y.D.A.U.,Killer apps,"InterLace, 932/1864 R.I.S.C. Power TPs...",Description of a state-of-the-art teleputer,Tech,"Inf/Reg, Isolation, Non-Action"
20,69,7,6,60-61,21-22,2009,11,"November Y.D.A.U., after 0745h.",You can’t escape looking,Troeltsch’s rapid onset rhinovirus,Troeltsch sick in bed at ETA.,E.T.A.,"Recur, Fear/Obsess, Secrets, Isolation, Dreams"
21,11,7,7,61-63,,2004,5,April-May Y.T-S.D.B.,A face in the floor,Evil in the dorm room with you,“almost 12”-year-old’s nightmare at ETA (likely Hal).,Hal,"Recur, Cycles, Fear/Obsess, Dreams"
22,26,8,1,63-65,23-25,2009,,1999,The man’s very gradual spiral,"Bio of Himself, info on Avril & C.T.","Brief description and history of ETA and its founder, James O. Incandenza.","Jim, Art/Ent, Avril, Tech","Recur, Cycles, Fear/Obsess, His/Father, Boundaries"
23,68,8,2,65-66,,2009,11,1 November Y.D.A.U.,He doesn’t loop or spiral,,Orin hang-glides into Mile High Stadium on game day.,Orin,"Recur, Fear/Obsess, Boundaries"
24,31,9,1,66-67,,2009,,early Y.D.A.U.,A kind of semi-sleep-like trance,Pemulis’s pharmocology seminar,"Michael Pemulis, as “Big Buddy,” talks about drugs to his little buddies.","E.T.A., AA&R",Recur
25,15,9,2,67-68,26-27,2008,,flashback to the year Hal turns 16,A kind of psychodysleptic Sominex,Football field-sized tennis court dream,Hal remembers the first time he got high and relates a tennis dream.,"E.T.A., AA&R, Hal","Recur, Cycles, Boundaries, Dreams"
26,32,10,1,68-78,28-30,2009,,early Y.D.A.U.,A frightening smile,"Kate Gompert, in hospital",Kate Gompert explains the extent of her addiction to marijuana to a young doctor.,AA&R,"Recur, Fear/Obsess, Isolation, Non-Action, Loss"
27,42,10,2,78-79,,2009,4,"2 April Y.D.A.U., just before 0145h.",His rictus of a face,Medical Attache catatonic,The medical attaché’s wife returns home...,Samizdat,"Recur, Waste, Isolation"
28,33,10,3,79-85,31-36,2009,,early Y.D.A.U.,The happy pleasure of the person alone,Gerhardt Schtitt & Mario walk and talk,Gerhardt Schtitt and Mario talk game theory on the way to get ice cream.,"E.T.A., Mario","Recur, Cycles, Isolation, Boundaries, Choice"
29,76,10,4,85-87,,2009,11,early November Y.D.A.U.,Little smiles and grimaces,Tiny Ewell’s cab ride,Tiny Ewell and a “big black” rehab staffer are transported to the Ennet House.,AA&R,"Recur, Phys/Ob"
30,43,10,5,87,,2009,4,"2 April Y.D.A.U., mid-afternoon",Not one bit distressed or in any way displeased,Medical Attache update #3,People come to the medical attaché’s house to look for him...,Samizdat,"Recur, Cycles, Waste, Non-Action"
31,44,11,1,87-92,37-41,2009,4,30 April Y.D.A.U.,Shadow-play,Marathe and Steeply: “You have ridiculous tits...”,"Tuscon, AZ. Marathe and special agent Hugh/Helen Steeply meet on a hillside to discuss the appearance, earlier that month, of a special form of Entertainment.","A.F.R., O.U.S., Samizdat","Recur, Cycles, Secrets, Boundaries, Phys/Ob"
32,21,11,2,93,,2008,,unspecified,Protective walls,“It’s a herd of feral hamsters.”,Description of a herd of feral hamsters in the Great Concavity. (The hamsters were freed “at the beginning of the experialist migration in the subsidized Year of the Whopper”).,O.N.A.N.,"Recur, Waste, Boundaries"
33,45,11,3,93-95,42,2009,4,April Y.D.A.U.,This little interface of you and me,"Marathe and Steeply in the desert, pt. 2",Marathe and Steeply continued.,"A.F.R., O.U.S.","Recur, Fear/Obsess, Secrets"
