id,track,type,start,end,confidence,evidence_level,creator,value,arousal,model,valence
urn:palimpsest:pride-and-prejudice-ch1:sentiment:0538d757,sentiment,SentimentAnnotation,0,118,0.7682,E5,vaderSentiment/3.3,,0.1225,vader,0.6705
urn:palimpsest:pride-and-prejudice-ch1:sentiment:64ae2132,sentiment,SentimentAnnotation,118,380,0.74588,E5,vaderSentiment/3.3,,0.049,vader,0.6147
urn:palimpsest:pride-and-prejudice-ch1:sentiment:3b50a537,sentiment,SentimentAnnotation,380,485,0.65272,E5,vaderSentiment/3.3,,0.0575,vader,0.3818
urn:palimpsest:pride-and-prejudice-ch1:sentiment:74c1910d,sentiment,SentimentAnnotation,485,525,0.5,E5,vaderSentiment/3.3,,0.0,vader,0.0
urn:palimpsest:pride-and-prejudice-ch1:sentiment:94fe1340,sentiment,SentimentAnnotation,525,619,0.5,E5,vaderSentiment/3.3,,0.0,vader,0.0
urn:palimpsest:pride-and-prejudice-ch1:sentiment:0e44f88c,sentiment,SentimentAnnotation,619,647,0.6184000000000001,E5,vaderSentiment/3.3,,0.1775,vader,-0.296
urn:palimpsest:pride-and-prejudice-ch1:sentiment:386c6b1f,sentiment,SentimentAnnotation,647,721,0.76912,E5,vaderSentiment/3.3,,0.186,vader,-0.6728
urn:palimpsest:pride-and-prejudice-ch1:sentiment:914d6e8b,sentiment,SentimentAnnotation,721,783,0.59052,E5,vaderSentiment/3.3,,0.121,vader,-0.2263
urn:palimpsest:pride-and-prejudice-ch1:sentiment:abbd0d69,sentiment,SentimentAnnotation,783,815,0.5,E5,vaderSentiment/3.3,,0.0,vader,0.0
urn:palimpsest:pride-and-prejudice-ch1:sentiment:c4de18ce,sentiment,SentimentAnnotation,815,1211,0.8224800000000001,E5,vaderSentiment/3.3,,0.049,vader,0.8062
urn:palimpsest:pride-and-prejudice-ch1:sentiment:57ccda6e,sentiment,SentimentAnnotation,1211,1308,0.7703599999999999,E5,vaderSentiment/3.3,,0.129,vader,0.6759
urn:palimpsest:pride-and-prejudice-ch1:sentiment:f4481e1c,sentiment,SentimentAnnotation,1309,1369,0.5,E5,vaderSentiment/3.3,,0.0,vader,0.0
urn:palimpsest:pride-and-prejudice-ch1:sentiment:d2c01586,sentiment,SentimentAnnotation,1370,1402,0.60856,E5,vaderSentiment/3.3,,0.1295,vader,0.2714
urn:palimpsest:pride-and-prejudice-ch1:sentiment:b53416f7,sentiment,SentimentAnnotation,1402,1413,0.5,E5,vaderSentiment/3.3,,0.0,vader,0.0
urn:palimpsest:pride-and-prejudice-ch1:sentiment:7605792d,sentiment,SentimentAnnotation,1414,1437,0.5,E5,vaderSentiment/3.3,,0.0,vader,0.0
urn:palimpsest:pride-and-prejudice-ch1:sentiment:c9dbf6a9,sentiment,SentimentAnnotation,1437,1508,0.65272,E5,vaderSentiment/3.3,,0.0835,vader,0.3818
urn:palimpsest:pride-and-prejudice-ch1:sentiment:0f4adb94,sentiment,SentimentAnnotation,1509,1570,0.5,E5,vaderSentiment/3.3,,0.0,vader,0.0
urn:palimpsest:pride-and-prejudice-ch1:sentiment:511217d6,sentiment,SentimentAnnotation,1570,1621,0.5,E5,vaderSentiment/3.3,,0.0,vader,0.0
urn:palimpsest:pride-and-prejudice-ch1:sentiment:f462ef9e,sentiment,SentimentAnnotation,1622,1652,0.68296,E5,vaderSentiment/3.3,,0.187,vader,-0.4574
urn:palimpsest:pride-and-prejudice-ch1:sentiment:4dbf1fb3,sentiment,SentimentAnnotation,1653,1773,0.81132,E5,vaderSentiment/3.3,,0.094,vader,0.7783
urn:palimpsest:pride-and-prejudice-ch1:sentiment:85a99738,sentiment,SentimentAnnotation,1773,1804,0.6184000000000001,E5,vaderSentiment/3.3,,0.134,vader,-0.296
urn:palimpsest:pride-and-prejudice-ch1:sentiment:7cf2f81a,sentiment,SentimentAnnotation,1805,1995,0.8752800000000001,E5,vaderSentiment/3.3,,0.16,vader,0.9382
urn:palimpsest:pride-and-prejudice-ch1:sentiment:4ae0d62e,sentiment,SentimentAnnotation,1995,2023,0.68352,E5,vaderSentiment/3.3,,0.25,vader,0.4588
urn:palimpsest:pride-and-prejudice-ch1:sentiment:45f6d3f0,sentiment,SentimentAnnotation,2024,2121,0.75212,E5,vaderSentiment/3.3,,0.169,vader,0.6303
urn:palimpsest:pride-and-prejudice-ch1:sentiment:6083b9c1,sentiment,SentimentAnnotation,2122,2214,0.73436,E5,vaderSentiment/3.3,,0.096,vader,0.5859
urn:palimpsest:pride-and-prejudice-ch1:sentiment:e7cc733a,sentiment,SentimentAnnotation,2214,2279,0.68868,E5,vaderSentiment/3.3,,0.0955,vader,-0.4717
urn:palimpsest:pride-and-prejudice-ch1:sentiment:d10c41d0,sentiment,SentimentAnnotation,2279,2373,0.71068,E5,vaderSentiment/3.3,,0.0835,vader,0.5267
urn:palimpsest:pride-and-prejudice-ch1:sentiment:ac61ffa4,sentiment,SentimentAnnotation,2373,2420,0.7481599999999999,E5,vaderSentiment/3.3,,0.18,vader,0.6204
urn:palimpsest:pride-and-prejudice-ch1:sentiment:3c465dd9,sentiment,SentimentAnnotation,2420,2452,0.5,E5,vaderSentiment/3.3,,0.0,vader,0.0
