page,illo,c1,c2,c3,c4,c5,details,death,bad,ok,good,win,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,
4.0,,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,
5.0,0.0,6.0,16.0,,,,,,,,,,,,,,,,,,,,,,
6.0,,22.0,114.0,,,,,,,,,,,,,,,,,,,,,,
7.0,f,,,,,,,,,,,,,,,,,,,,,,,,
8.0,s,9.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,s,17.0,18.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,20.0,61.0,21.0,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,
12.0,,66.0,78.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,14.0,15.0,,,,,,,,,,,,,,,,,,,,,,
14.0,0.0,,,,,,"freed from prison, stole a horse, free peasant dinner, a new adventure awaits",,,,x,,,,,,,,,,,,,,
15.0,,,,,,,"freed from prison, given a horse and some gold by the bemused king",,,,,x,,,,,,,,,,,,,
16.0,,24.0,25.0,,,,,,,,,,,,,,,,,,,,,,
17.0,,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,,29.0,30.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,33.0,35.0,,,,,,,,,,,,,,,,,,,,,,
22.0,,36.0,37.0,,,,,,,,,,,,,,,,,,,,,,
23.0,f,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,38.0,40.0,,,,,,,,,,,,,,,,,,,,,,
25.0,,43.0,41.0,44.0,45.0,,,,,,,,,,,,,,,,,,,,
26.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,46.0,47.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,0.0,52.0,53.0,,,,,,,,,,,,,,,,,,,,,,
30.0,,54.0,92.0,,,,,,,,,,,,,,,,,,,,,,
31.0,,,,,,,froze to death,x,,,,,,,,,,,,,,,,,
32.0,,58.0,64.0,,,,,,,,,,,,,,,,,,,,,,
33.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,0.0,68.0,79.0,,,,,,,,,,,,,,,,,,,,,,
35.0,,76.0,80.0,,,,,,,,,,,,,,,,,,,,,,
36.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,s,39.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,s,82.0,87.0,,,,,,,,,,,,,,,,,,,,,,
40.0,,115.0,83.0,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,,,anticlimactically sent back to your own time,,,x,,,,,,,,,,,,,,,
42.0,f,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,,,,,return home to family and friends,,,,x,,,,,,,,,,,,,,
44.0,,,,,,,warped into a war zone after asking for guaranteed safe return,,x,,,,,,,,,,,,,,,,
