page,illo,c1,c2,c3,c4,c5,details,death,bad,ok,good,win,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,s,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,s,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,
4.0,f,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,
6.0,,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,
7.0,f,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,11.0,15.0,,,,,,,,,,,,,,,,,,,,,,
9.0,,16.0,14.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,17.0,18.0,,,,,,,,,,,,,,,,,,,,,,
11.0,,24.0,22.0,,,,,,,,,,,,,,,,,,,,,,
12.0,,21.0,19.0,,,,,,,,,,,,,,,,,,,,,,
13.0,f,,,,,,,,,,,,,,,,,,,,,,,,
14.0,0.0,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,
15.0,,23.0,27.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,29.0,31.0,,,,,,,,,,,,,,,,,,,,,,
17.0,,32.0,33.0,,,,,,,,,,,,,,,,,,,,,,
18.0,,34.0,37.0,,,,,,,,,,,,,,,,,,,,,,
19.0,0.0,,,,,,you are eaten by sharks,x,,,,,,,,,,,,,,,,,
20.0,f,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,,,,,,"you escape the sharks but get the bends, ending your diving career",,x,,,,,,,,,,,,,,,,
22.0,,38.0,35.0,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,,,,you dive too deep and your craft is crushed by the pressure,x,,,,,,,,,,,,,,,,,
24.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,f,,,,,,,,,,,,,,,,,,,,,,,,
26.0,0.0,,,,,,you blast the hatch with your laser causing a flood which sweeps you away and drowns many others,,x,,,,,,,,,,,,,,,,
27.0,,39.0,40.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,41.0,42.0,,,,,,,,,,,,,,,,,,,,,,
29.0,,43.0,44.0,,,,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,,,,,,you are bitten by a poisonous sea snake,x,,,,,,,,,,,,,,,,,
32.0,,,,,,,you quit the expedition and later learn that they went on to discover Atlantis,,x,,,,,,,,,,,,,,,,
33.0,,45.0,46.0,,,,,,,,,,,,,,,,,,,,,,
34.0,,48.0,47.0,,,,,,,,,,,,,,,,,,,,,,
35.0,,50.0,53.0,,,,,,,,,,,,,,,,,,,,,,
36.0,f,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,,,you are swallowed whole by a gigantic grouper,x,,,,,,,,,,,,,,,,,
38.0,,55.0,51.0,,,,,,,,,,,,,,,,,,,,,,
39.0,,56.0,57.0,,,,,,,,,,,,,,,,,,,,,,
40.0,0.0,,,,,,"the Atlanteans disable your sub before you can fire, leaving you unable to ever return",,x,,,,,,,,,,,,,,,,
41.0,,58.0,59.0,,,,,,,,,,,,,,,,,,,,,,
42.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
43.0,,60.0,61.0,,,,,,,,,,,,,,,,,,,,,,
44.0,0.0,64.0,63.0,,,,,,,,,,,,,,,,,,,,,,
45.0,,65.0,66.0,,,,,,,,,,,,,,,,,,,,,,
46.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,,,you give up the expedition but later hear a new one is being mounted and are tempted to try again,,,x,,,,,,,,,,,,,,,
48.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
49.0,f,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,67.0,68.0,,,,,,,,,,,,,,,,,,,,,,
51.0,,72.0,74.0,,,,,,,,,,,,,,,,,,,,,,
52.0,f,,,,,,,,,,,,,,,,,,,,,,,,
53.0,,69.0,70.0,,,,,,,,,,,,,,,,,,,,,,
54.0,f,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,71.0,73.0,,,,,,,,,,,,,,,,,,,,,,
56.0,,75.0,76.0,,,,,,,,,,,,,,,,,,,,,,
57.0,,77.0,79.0,,,,,,,,,,,,,,,,,,,,,,
58.0,,,,,,,you are given a set of gills by Atlantean surgeons and you begin a new life living among them,,,,x,,,,,,,,,,,,,,
59.0,0.0,,,,,,you refuse the offer to become a gilled Atlantean and are housed in a zoo with only a horse to keep you company,,x,,,,,,,,,,,,,,,,
60.0,,80.0,82.0,,,,,,,,,,,,,,,,,,,,,,
61.0,,81.0,86.0,,,,,,,,,,,,,,,,,,,,,,
62.0,f,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,,,,,,you escape the sub with your life but not your sight and have failed in your quest to find Atlantis,,x,,,,,,,,,,,,,,,,
64.0,,63.0,85.0,87.0,,,,,,,,,,,,,,,,,,,,,
65.0,,88.0,89.0,,,,,,,,,,,,,,,,,,,,,,
66.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,
67.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
68.0,,,,,,,"your craft is ripped off the boat during a storm, precluding the rest of your expedition",,x,,,,,,,,,,,,,,,,
69.0,,97.0,98.0,,,,,,,,,,,,,,,,,,,,,,
70.0,,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,
71.0,,90.0,91.0,,,,,,,,,,,,,,,,,,,,,,
72.0,,93.0,94.0,,,,,,,,,,,,,,,,,,,,,,
