page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,s,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,s,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,
4.0,f,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,
6.0,,11.0,12.0,,,,,,,,,,,,,,,,,,,,,,
7.0,,14.0,15.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,16.0,17.0,,,,,,,,,,,,,,,,,,,,,,
9.0,f,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,18.0,19.0,,,,,,,,,,,,,,,,,,,,,,
11.0,,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,
12.0,s,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,
13.0,s,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,15.0,40.0,,,,,,,,,,,,,,,,,,,,,,
15.0,0.0,28.0,30.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,11.0,32.0,33.0,,,,,,,,,,,,,,,,,,,,,
17.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,,34.0,36.0,,,,,,,,,,,,,,,,,,,,,,
19.0,0.0,37.0,38.0,,,,,,,,,,,,,,,,,,,,,,
20.0,0.0,39.0,66.0,,,,,,,,,,,,,,,,,,,,,,
21.0,,69.0,70.0,,,,,,,,,,,,,,,,,,,,,,
22.0,s,23.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,s,42.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,0.0,44.0,45.0,,,,,,,,,,,,,,,,,,,,,,
25.0,,41.0,46.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,50.0,51.0,,,,,,,,,,,,,,,,,,,,,,
27.0,,47.0,49.0,,,,,,,,,,,,,,,,,,,,,,
28.0,s,29.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,s,52.0,53.0,,,,,,,,,,,,,,,,,,,,,,
30.0,s,31.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,s,54.0,55.0,,,,,,,,,,,,,,,,,,,,,,
32.0,0.0,56.0,57.0,,,,,,,,,,,,,,,,,,,,,,
33.0,,58.0,59.0,,,,,,,,,,,,,,,,,,,,,,
34.0,,60.0,62.0,63.0,,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,,,,,,,,,,,,,,,,,,,,,
36.0,,92.0,94.0,,,,,,,,,,,,,,,,,,,,,,
37.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
38.0,0.0,64.0,65.0,,,,,,,,,,,,,,,,,,,,,,
39.0,,67.0,95.0,,,,,,,,,,,,,,,,,,,,,,
40.0,,26.0,27.0,,,,,,,,,,,,,,,,,,,,,,
41.0,,75.0,76.0,,,,,,,,,,,,,,,,,,,,,,
42.0,s,43.0,,,,,,,,,,,,,,,,,,,,,,,
43.0,s,73.0,74.0,,,,,,,,,,,,,,,,,,,,,,
44.0,0.0,25.0,71.0,72.0,,,,,,,,,,,,,,,,,,,,,
45.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
46.0,,78.0,79.0,,,,,,,,,,,,,,,,,,,,,,
47.0,0.0,48.0,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,,,0,,,,,,,,,,,,,,,,,,,,
49.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
50.0,,,,,0,,,,,,,,,,,,,,,,,,,,
51.0,,,,,0,,,,,,,,,,,,,,,,,,,,
52.0,0.0,80.0,100.0,,,,,,,,,,,,,,,,,,,,,,
53.0,,82.0,83.0,,,,,,,,,,,,,,,,,,,,,,
54.0,0.0,84.0,85.0,,,,,,,,,,,,,,,,,,,,,,
55.0,,41.0,86.0,,,,,,,,,,,,,,,,,,,,,,
56.0,,88.0,90.0,,,,,,,,,,,,,,,,,,,,,,
57.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
58.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,
59.0,,14.0,91.0,,,,,,,,,,,,,,,,,,,,,,
60.0,s,61.0,,,,,,,,,,,,,,,,,,,,,,,
61.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
62.0,,,,,0,,,,,,,,,,,,,,,,,,,,
63.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
64.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
65.0,,106.0,107.0,,,,,,,,,,,,,,,,,,,,,,
66.0,,96.0,110.0,,,,,,,,,,,,,,,,,,,,,,
67.0,,,,,0,,,,,,,,,,,,,,,,,,,,
68.0,s,,,,,,,,,,,,,,,,,,,,,,,,
69.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
70.0,,,,,0,,,,,,,,,,,,,,,,,,,,
71.0,,,,,0,,,,,,,,,,,,,,,,,,,,
72.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,
73.0,,97.0,99.0,,,,,,,,,,,,,,,,,,,,,,
74.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
75.0,,108.0,109.0,,,,,,,,,,,,,,,,,,,,,,
76.0,,,,,0,,,,,,,,,,,,,,,,,,,,
77.0,f,,,,,,,,,,,,,,,,,,,,,,,,
78.0,,,,,0,,,,,,,,,,,,,,,,,,,,
79.0,,,,,0,,,,,,,,,,,,,,,,,,,,
80.0,s,81.0,,,,,,,,,,,,,,,,,,,,,,,
