page,illo,c1,c2,c3,c4,c5,details,death,bad,ok,good,win,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,
4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,f,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,
7.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,13.0,12.0,,,,,,,,,,,,,,,,,,,,,,
9.0,f,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,15.0,16.0,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,17.0,19.0,,,,,,,,,,,,,,,,,,,,,,
12.0,0.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,22.0,23.0,,,,,,,,,,,,,,,,,,,,,,
14.0,f,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,24.0,25.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,28.0,26.0,,,,,,,,,,,,,,,,,,,,,,
17.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,f,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,32.0,35.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,34.0,36.0,,,,,,,,,,,,,,,,,,,,,,
21.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,,,,,,,0,,,,,,,,,,,,,,,,,,
23.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,0.0,38.0,55.0,,,,,,,,,,,,,,,,,,,,,,
25.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,43.0,42.0,,,,,,,,,,,,,,,,,,,,,,
27.0,f,,,,,,,,,,,,,,,,,,,,,,,,
28.0,,,,,,,0,,,,,,,,,,,,,,,,,,
29.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,s,31.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,s,45.0,46.0,,,,,,,,,,,,,,,,,,,,,,
32.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,47.0,48.0,,,,,,,,,,,,,,,,,,,,,,
34.0,0.0,,,,,,0,,,,,,,,,,,,,,,,,,
35.0,,,,,,,0,,,,,,,,,,,,,,,,,,
