page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,f,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,,,0,,,,,,,,,,,,,,,,,,,,,
8.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,f,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,f,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,f,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,,73.0,28.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,,,0,,,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,,,0,,,,,,,,,,,,,,,,,,,,,
23.0,,102.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,f,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,65.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,,,0,,,,,,,,,,,,,,,,,,,,,
27.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,f,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,112.0,57.0,,,,,,,,,,,,,,,,,,,,,,
31.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
32.0,,,,0,,,,,,,,,,,,,,,,,,,,,
33.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,,,,,,,,,,,,,,,,,,,,,
36.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,
