page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,f,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
7.0,,,,0,,,,,,,,,,,,,,,,,,,,,
8.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,f,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,0,,,,,,,,,,,,,,,,,,,,,
11.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,f,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,f,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,52.0,94.0,,,,,,,,,,,,,,,,,,,,,,
18.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,,58.0,81.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,82.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,f,,,,,,,,,,,,,,,,,,,,,,,,
26.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,f,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
31.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,92.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,,,0,,,,,,,,,,,,,,,,,,,,,
35.0,,,,0,,,,,,,,,,,,,,,,,,,,,
36.0,f,,,,,,,,,,,,,,,,,,,,,,,,
