page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,5.0,16.0,8.0,,,,,,,,,,,,,,,,,,,,,
4.0,,22.0,25.0,,,,,,,,,,,,,,,,,,,,,,
5.0,0.0,11.0,14.0,,,,,,,,,,,,,,,,,,,,,,
6.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,f,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,
11.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,f,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,,,,0,,x,,,,,,,,,,,,,,,,,,
15.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,,30.0,32.0,,,,,,,,,,,,,,,,,,,,,,
18.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,,34.0,36.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,57.0,58.0,,,,,,,,,,,,,,,,,,,,,,
21.0,,,,,0,,,x,,,,,,,,,,,,,,,,,
22.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,,37.0,117.0,,,,,,,,,,,,,,,,,,,,,,
25.0,,114.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,f,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,,,,0,,,x,,,,,,,,,,,,,,,,,
28.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,f,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,48.0,49.0,,,,,,,,,,,,,,,,,,,,,,
31.0,f,,,,,,,,,,,,,,,,,,,,,,,,
32.0,,117.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,,40.0,51.0,,,,,,,,,,,,,,,,,,,,,,
36.0,,52.0,65.0,,,,,,,,,,,,,,,,,,,,,,
