page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,f,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,
8.0,f,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,3.0,29.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,14.0,63.0,,,,,,,,,,,,,,,,,,,,,,
11.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,,,,0,x,,,,,,,,,,,,,,,,,,,,
17.0,f,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,32.0,34.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,f,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,0,x,,,,,,,,,,,,,,,,,,,,
24.0,s,11.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,s,,,,,,,,,,,,,,,,,,,,,,,,
26.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,15.0,87.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,21.0,41.0,,,,,,,,,,,,,,,,,,,,,,
29.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,,,0,x,,,,,,,,,,,,,,,,,,,,
34.0,s,36.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,s,,,,,,,,,,,,,,,,,,,,,,,,
36.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,,31.0,50.0,,,,,,,,,,,,,,,,,,,,,,
38.0,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,,,,0,,,,x,,,,,,,,,,,,,,,,,
