page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,4.0,67.0,,,,,,,,,,,,,,,,,,,,,,
4.0,,16.0,10.0,,,,,,,,,,,,,,,,,,,,,,
5.0,,25.0,27.0,,,,,,,,,,,,,,,,,,,,,,
6.0,,11.0,13.0,,,,,,,,,,,,,,,,,,,,,,
7.0,f,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,17.0,5.0,,,,,,,,,,,,,,,,,,,,,,
9.0,f,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,,20.0,22.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,f,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,23.0,26.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,f,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,32.0,51.0,,,,,,,,,,,,,,,,,,,,,,
22.0,,35.0,37.0,,,,,,,,,,,,,,,,,,,,,,
23.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,40.0,42.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,67.0,,,0,,,,,,,,,,,,,,,,,,,,
27.0,,43.0,54.0,,,,,,,,,,,,,,,,,,,,,,
28.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,f,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,45.0,46.0,,,,,,,,,,,,,,,,,,,,,,
31.0,,28.0,34.0,,,,,,,,,,,,,,,,,,,,,,
32.0,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,59.0,56.0,,,,,,,,,,,,,,,,,,,,,,
34.0,,49.0,50.0,,,,,,,,,,,,,,,,,,,,,,
35.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
36.0,,67.0,,,0,,,,,,,,,,,,,,,,,,,,
37.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
38.0,f,,,,,,,,,,,,,,,,,,,,,,,,
39.0,,60.0,65.0,,,,,,,,,,,,,,,,,,,,,,
40.0,,,,,0,,,,,,,,,,,,,,,,,,,,
41.0,f,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,67.0,,,0,,,,,,,,,,,,,,,,,,,,
43.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,
44.0,0.0,67.0,,,0,,,,,,,,,,,,,,,,,,,,
45.0,,53.0,58.0,,,,,,,,,,,,,,,,,,,,,,
46.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,f,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,,,0,,,,,,,,,,,,,,,,,,,,
49.0,,,,,0,,,,,,,,,,,,,,,,,,,,
50.0,0.0,67.0,,,0,,,,,,,,,,,,,,,,,,,,
51.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,
52.0,,57.0,62.0,,,,,,,,,,,,,,,,,,,,,,
53.0,,,,,0,,,,,,,,,,,,,,,,,,,,
54.0,,67.0,,,0,,,,,,,,,,,,,,,,,,,,
55.0,f,,,,,,,,,,,,,,,,,,,,,,,,
56.0,0.0,67.0,,,0,,,,,,,,,,,,,,,,,,,,
57.0,,,,,0,,,,,,,,,,,,,,,,,,,,
58.0,,,,,0,,,,,,,,,,,,,,,,,,,,
59.0,,,,,0,,,,,,,,,,,,,,,,,,,,
60.0,s,61.0,,,,,,,,,,,,,,,,,,,,,,,
61.0,s,67.0,,,0,,,,,,,,,,,,,,,,,,,,
62.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,
63.0,0.0,67.0,,,0,,,,,,,,,,,,,,,,,,,,
64.0,f,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,67.0,,,0,,,,,,,,,,,,,,,,,,,,
66.0,f,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,68.0,73.0,,,,,,,,,,,,,,,,,,,,,,
68.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,
69.0,f,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,
71.0,,74.0,77.0,,,,,,,,,,,,,,,,,,,,,,
72.0,f,,,,,,,,,,,,,,,,,,,,,,,,
73.0,,81.0,84.0,,,,,,,,,,,,,,,,,,,,,,
74.0,s,75.0,,,,,,,,,,,,,,,,,,,,,,,
75.0,s,76.0,,,,,,,,,,,,,,,,,,,,,,,
76.0,,80.0,89.0,,,,,,,,,,,,,,,,,,,,,,
77.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,
78.0,,93.0,95.0,,,,,,,,,,,,,,,,,,,,,,
79.0,f,,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,0,,,,,,,,,,,,,,,,,,,,
81.0,,82.0,,,,,,,,,,,,,,,,,,,,,,,
82.0,,88.0,98.0,,,,,,,,,,,,,,,,,,,,,,
83.0,f,,,,,,,,,,,,,,,,,,,,,,,,
84.0,,86.0,92.0,,,,,,,,,,,,,,,,,,,,,,
85.0,f,,,,,,,,,,,,,,,,,,,,,,,,
86.0,,87.0,,,,,,,,,,,,,,,,,,,,,,,
87.0,0.0,108.0,101.0,,,,,,,,,,,,,,,,,,,,,,
88.0,0.0,97.0,,,,,,,,,,,,,,,,,,,,,,,
89.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,
90.0,0.0,91.0,,,,,,,,,,,,,,,,,,,,,,,
91.0,,102.0,105.0,,,,,,,,,,,,,,,,,,,,,,
92.0,,109.0,99.0,,,,,,,,,,,,,,,,,,,,,,
93.0,,94.0,,,,,,,,,,,,,,,,,,,,,,,
94.0,,103.0,110.0,,,,,,,,,,,,,,,,,,,,,,
95.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,
96.0,,106.0,113.0,,,,,,,,,,,,,,,,,,,,,,
97.0,,,,,0,,,,,,,,,,,,,,,,,,,,
98.0,,107.0,114.0,,,,,,,,,,,,,,,,,,,,,,
99.0,0.0,4.0,,,0,,,,,,,,,,,,,,,,,,,,
100.0,f,,,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,,0,,,,,,,,,,,,,,,,,,,,
102.0,,4.0,,,0,,,,,,,,,,,,,,,,,,,,
103.0,,,,,0,,,,,,,,,,,,,,,,,,,,
104.0,f,,,,,,,,,,,,,,,,,,,,,,,,
105.0,,4.0,,,0,,,,,,,,,,,,,,,,,,,,
106.0,,,,,0,,,,,,,,,,,,,,,,,,,,
107.0,,4.0,,,0,,,,,,,,,,,,,,,,,,,,
