page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,
2.0,f,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,
4.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,26.0,29.0,33.0,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,56.0,5.0,24.0,,,,,,,,,,,,,,,,,,,,,
12.0,f,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,7.0,18.0,19.0,,,,,,,,,,,,,,,,,,,,,
15.0,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,f,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,,22.0,16.0,,,,,,,,,,,,,,,,,,,,,,
24.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,63.0,64.0,,,,,,,,,,,,,,,,,,,,,,
29.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,89.0,59.0,,,,,,,,,,,,,,,,,,,,,,
32.0,0.0,53.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,f,,,,,,,,,,,,,,,,,,,,,,,,
35.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,
36.0,,,,,0,,,,,,,,,,,,,,,,,,,,
37.0,,66.0,65.0,,,,,,,,,,,,,,,,,,,,,,
38.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,f,,,,,,,,,,,,,,,,,,,,,,,,
40.0,f,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,0,,,,,,,,,,,,,,,,,,,,
42.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,
43.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,
44.0,f,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,,,,0,,,,,,,,,,,,,,,,,,,,
46.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,f,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,70.0,72.0,,,,,,,,,,,,,,,,,,,,,,
49.0,0.0,112.0,,,ending for the book-within-a-book,,,,,,,,,,,,,,,,,,,,
50.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
51.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,
52.0,f,,,,,,,,,,,,,,,,,,,,,,,,
53.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,
54.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,
55.0,,,,,0,,,,,,,,,,,,,,,,,,,,
56.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,
57.0,f,,,,,,,,,,,,,,,,,,,,,,,,
58.0,f,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,
60.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,
61.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,
62.0,f,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,76.0,,,,,,,,,,,,,,,,,,,,,,,
64.0,,77.0,,,,,,,,,,,,,,,,,,,,,,,
65.0,,84.0,,,,,,,,,,,,,,,,,,,,,,,
66.0,,61.0,,,,,,,,,,,,,,,,,,,,,,,
67.0,f,,,,,,,,,,,,,,,,,,,,,,,,
68.0,,81.0,88.0,,,,,,,,,,,,,,,,,,,,,,
69.0,f,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,112.0,,,ending for the book-within-a-book,,,,,,,,,,,,,,,,,,,,
71.0,f,,,,,,,,,,,,,,,,,,,,,,,,
72.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
73.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
74.0,,82.0,,,,,,,,,,,,,,,,,,,,,,,
75.0,0.0,91.0,,,,,,,,,,,,,,,,,,,,,,,
76.0,,73.0,101.0,,,,,,,,,,,,,,,,,,,,,,
77.0,,,,,0,,,,,,,,,,,,,,,,,,,,
78.0,f,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,
80.0,,86.0,,,,,,,,,,,,,,,,,,,,,,,
