page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,4.0,31.0,,,,,,,,,,,,,,,,,,,,,,
4.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,8.0,55.0,,,,,,,,,,,,,,,,,,,,,,
6.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,12.0,55.0,18.0,,,,,,,,,,,,,,,,,,,,,
8.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,f,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,f,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,,77.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,0.0,103.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,,,,,0,,,,,,,,,,,,,,,,,,,,
20.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,117.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,0.0,118.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,,,,0,,,,,,,,,,,,,,,,,,,,
26.0,,88.0,114.0,,,,,,,,,,,,,,,,,,,,,,
27.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,s,29.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,s,63.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,,,,,0,,,,,,,,,,,,,,,,,,,,
31.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,,102.0,,,,,,,,,,,,,,,,,,,,,,,
36.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,0.0,49.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,,,,,0,,,,,,,,,,,,,,,,,,,,
39.0,,64.0,71.0,,,,,,,,,,,,,,,,,,,,,,
40.0,s,108.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,s,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,,,,0,,,,,,,,,,,,,,,,,,,,
43.0,,,,,0,,,,,,,,,,,,,,,,,,,,
44.0,,,,,0,,,,,,,,,,,,,,,,,,,,
45.0,,85.0,,,,,,,,,,,,,,,,,,,,,,,
46.0,0.0,47.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,0,,,,,,,,,,,,,,,,,,,,
48.0,,86.0,,,,,,,,,,,,,,,,,,,,,,,
49.0,,70.0,74.0,,,,,,,,,,,,,,,,,,,,,,
50.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
