page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,10.0,58.0,,,,,,,,,,,,,,,,,,,,,,
4.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,f,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,48.0,5.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,74.0,9.0,,,,,,,,,,,,,,,,,,,,,,
9.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,101.0,24.0,,,,,,,,,,,,,,,,,,,,,,
14.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,,88.0,106.0,,,,,,,,,,,,,,,,,,,,,,
18.0,,32.0,11.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,83.0,76.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,31.0,112.0,,,,,,,,,,,,,,,,,,,,,,
22.0,,34.0,108.0,,,,,,,,,,,,,,,,,,,,,,
23.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,f,,,,,,,,,,,,,,,,,,,,,,,,
28.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,46.0,89.0,,,,,,,,,,,,,,,,,,,,,,
33.0,,18.0,86.0,,,,,,,,,,,,,,,,,,,,,,
34.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,,,,,,,,,,,,,,,,,,,,,
36.0,f,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,,42.0,109.0,,,,,,,,,,,,,,,,,,,,,,
39.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,
40.0,0.0,53.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,
42.0,0.0,47.0,,,,,,,,,,,,,,,,,,,,,,,
43.0,,110.0,,,,,,,,,,,,,,,,,,,,,,,
44.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,
45.0,,44.0,78.0,,,,,,,,,,,,,,,,,,,,,,
46.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,,99.0,65.0,,,,,,,,,,,,,,,,,,,,,,
48.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,
49.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
