page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,f,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,72.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,
6.0,f,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,,76.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,f,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,9.0,101.0,,,,,,,,,,,,,,,,,,,,,,
14.0,,87.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,7.0,78.0,,,,,,,,,,,,,,,,,,,,,,
16.0,f,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,,,0,,,,,,,,,,,,,,,,,,,,,
18.0,,11.0,73.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,106.0,34.0,,,,,,,,,,,,,,,,,,,,,,
22.0,,91.0,29.0,,,,,,,,,,,,,,,,,,,,,,
23.0,,36.0,112.0,,,,,,,,,,,,,,,,,,,,,,
24.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,f,,,,,,,,,,,,,,,,,,,,,,,,
26.0,,52.0,33.0,,,,,,,,,,,,,,,,,,,,,,
27.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,f,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,38.0,107.0,,,,,,,,,,,,,,,,,,,,,,
32.0,0.0,74.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,81.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,
