page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,0,,,,,,,,,,,,,,,,,,,,,
4.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,f,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,76.0,97.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,10.0,50.0,,,,,,,,,,,,,,,,,,,,,,
9.0,,,,0,,,,,,,,,,,,,,,,,,,,,
10.0,,24.0,6.0,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
12.0,,22.0,18.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,,,0,,,,,,,,,,,,,,,,,,,,,
15.0,,38.0,20.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,11.0,14.0,,,,,,,,,,,,,,,,,,,,,,
17.0,,,,0,,,,,,,,,,,,,,,,,,,,,
18.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,f,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,30.0,105.0,,,,,,,,,,,,,,,,,,,,,,
22.0,,69.0,66.0,,,,,,,,,,,,,,,,,,,,,,
23.0,f,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,57.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,12.0,17.0,,,,,,,,,,,,,,,,,,,,,,
28.0,f,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,,45.0,32.0,,,,,,,,,,,,,,,,,,,,,,
32.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,48.0,40.0,,,,,,,,,,,,,,,,,,,,,,
35.0,,53.0,39.0,,,,,,,,,,,,,,,,,,,,,,
