page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,s,,,,,,,,,,,,,,,,,,,,,,,,
5.0,s,7.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,61.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,0,,,,,,,,,,,,,,,,,,,,,
11.0,f,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,38.0,46.0,,,,,,,,,,,,,,,,,,,,,,
16.0,f,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,,29.0,54.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,88.0,32.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,51.0,73.0,,,,,,,,,,,,,,,,,,,,,,
22.0,s,24.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,s,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,114.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,f,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,,92.0,33.0,,,,,,,,,,,,,,,,,,,,,,
31.0,,,,0,,,,,,,,,,,,,,,,,,,,,
32.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,,,,,,,,,,,,,,,,,,,,,
36.0,,26.0,78.0,,,,,,,,,,,,,,,,,,,,,,
