page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,s,10.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,s,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,20.0,110.0,,,,,,,,,,,,,,,,,,,,,,
5.0,,,,0,,,,,,,,,,,,,,,,,,,,,
6.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,f,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,36.0,18.0,,,,,,,,,,,,,,,,,,,,,,
10.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,f,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,8.0,64.0,,,,,,,,,,,,,,,,,,,,,,
14.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,111.0,79.0,,,,,,,,,,,,,,,,,,,,,,
16.0,,,,0,,,,,,,,,,,,,,,,,,,,,
17.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,s,19.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,s,24.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,f,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,32.0,17.0,,,,,,,,,,,,,,,,,,,,,,
25.0,,82.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,f,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,53.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,f,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,,38.0,16.0,,,,,,,,,,,,,,,,,,,,,,
36.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,0.0,77.0,27.0,,,,,,,,,,,,,,,,,,,,,,
38.0,,104.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,,22.0,102.0,,,,,,,,,,,,,,,,,,,,,,
40.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,,30.0,50.0,,,,,,,,,,,,,,,,,,,,,,
42.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,
43.0,f,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,
45.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,,0,,,,,,,,,,,,,,,,,,,,,
47.0,,54.0,66.0,,,,,,,,,,,,,,,,,,,,,,
48.0,f,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,,,0,,,,,,,,,,,,,,,,,,,,,
50.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,
51.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,
52.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,
53.0,,95.0,93.0,,,,,,,,,,,,,,,,,,,,,,
54.0,,,,0,,,,,,,,,,,,,,,,,,,,,
55.0,f,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,57.0,,,,,,,,,,,,,,,,,,,,,,,
57.0,,62.0,80.0,,,,,,,,,,,,,,,,,,,,,,
58.0,f,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,81.0,98.0,,,,,,,,,,,,,,,,,,,,,,
60.0,,61.0,,,,,,,,,,,,,,,,,,,,,,,
61.0,,87.0,,,,,,,,,,,,,,,,,,,,,,,
62.0,,,,0,,,,,,,,,,,,,,,,,,,,,
63.0,f,,,,,,,,,,,,,,,,,,,,,,,,
64.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,
65.0,,94.0,96.0,,,,,,,,,,,,,,,,,,,,,,
66.0,,,,0,,,,,,,,,,,,,,,,,,,,,
67.0,,,,0,,,,,,,,,,,,,,,,,,,,,
68.0,f,,,,,,,,,,,,,,,,,,,,,,,,
69.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,
70.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,
71.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,
72.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,
73.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
74.0,,52.0,76.0,,,,,,,,,,,,,,,,,,,,,,
75.0,f,,,,,,,,,,,,,,,,,,,,,,,,
76.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
77.0,,,,0,,,,,,,,,,,,,,,,,,,,,
78.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,
79.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,0,,,,,,,,,,,,,,,,,,,,,
81.0,,,,0,,,,,,,,,,,,,,,,,,,,,
82.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,
83.0,,,,0,,,,,,,,,,,,,,,,,,,,,
84.0,,114.0,,,,,,,,,,,,,,,,,,,,,,,
85.0,f,,,,,,,,,,,,,,,,,,,,,,,,
86.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,
87.0,,,,0,,,,,,,,,,,,,,,,,,,,,
88.0,,,,0,,,,,,,,,,,,,,,,,,,,,
89.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
90.0,,91.0,,,,,,,,,,,,,,,,,,,,,,,
91.0,,74.0,72.0,,,,,,,,,,,,,,,,,,,,,,
92.0,f,,,,,,,,,,,,,,,,,,,,,,,,
93.0,,65.0,,,,,,,,,,,,,,,,,,,,,,,
94.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,
95.0,,86.0,84.0,,,,,,,,,,,,,,,,,,,,,,
96.0,,,,0,,,,,,,,,,,,,,,,,,,,,
97.0,f,,,,,,,,,,,,,,,,,,,,,,,,
98.0,,,,0,,,,,,,,,,,,,,,,,,,,,
99.0,,25.0,56.0,,,,,,,,,,,,,,,,,,,,,,
100.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,0.0,82.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,,,,0,,,,,,,,,,,,,,,,,,,,,
103.0,,,,0,,,,,,,,,,,,,,,,,,,,,
104.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,,103.0,41.0,,,,,,,,,,,,,,,,,,,,,,
106.0,f,,,,,,,,,,,,,,,,,,,,,,,,
107.0,,83.0,109.0,,,,,,,,,,,,,,,,,,,,,,
108.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,,,,0,,,,,,,,,,,,,,,,,,,,,
110.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
112.0,,60.0,71.0,,,,,,,,,,,,,,,,,,,,,,
113.0,f,,,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,0,,,,,,,,,,,,,,,,,,,,,
115.0,,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,
116.0,,,,0,,,,,,,,,,,,,,,,,,,,,
