page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,24.0,70.0,,,,,,,,,,,,,,,,,,,,,,
6.0,s,7.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,s,105.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,,84.0,20.0,,,,,,,,,,,,,,,,,,,,,,
11.0,f,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,32.0,19.0,,,,,,,,,,,,,,,,,,,,,,
14.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,f,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,9.0,79.0,,,,,,,,,,,,,,,,,,,,,,
17.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,f,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,f,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,,,0,,,,,,,,,,,,,,,,,,,,,
26.0,s,27.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,s,34.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,,,,0,,,,,,,,,,,,,,,,,,,,,
31.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,22.0,76.0,,,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,28.0,30.0,,,,,,,,,,,,,,,,,,,,,,
35.0,,55.0,49.0,,,,,,,,,,,,,,,,,,,,,,
36.0,f,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,62.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,,,,0,,,,,,,,,,,,,,,,,,,,,
40.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,0,,,,,,,,,,,,,,,,,,,,,
42.0,s,25.0,,,,,,,,,,,,,,,,,,,,,,,
43.0,s,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
45.0,,21.0,63.0,,,,,,,,,,,,,,,,,,,,,,
46.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,f,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,
49.0,,52.0,38.0,,,,,,,,,,,,,,,,,,,,,,
50.0,s,81.0,,,,,,,,,,,,,,,,,,,,,,,
51.0,s,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,,,0,,,,,,,,,,,,,,,,,,,,,
53.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,
54.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,
55.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,
56.0,f,,,,,,,,,,,,,,,,,,,,,,,,
57.0,,,,0,,,,,,,,,,,,,,,,,,,,,
58.0,,94.0,,,,,,,,,,,,,,,,,,,,,,,
59.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
60.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
61.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
62.0,,100.0,95.0,,,,,,,,,,,,,,,,,,,,,,
63.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,
64.0,,,,0,,,,,,,,,,,,,,,,,,,,,
65.0,f,,,,,,,,,,,,,,,,,,,,,,,,
66.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,
67.0,,64.0,114.0,,,,,,,,,,,,,,,,,,,,,,
68.0,f,,,,,,,,,,,,,,,,,,,,,,,,
69.0,,53.0,,,,,,,,,,,,,,,,,,,,,,,
70.0,,110.0,67.0,,,,,,,,,,,,,,,,,,,,,,
71.0,,2.0,106.0,,,,,,,,,,,,,,,,,,,,,,
72.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
73.0,,58.0,39.0,,,,,,,,,,,,,,,,,,,,,,
74.0,,98.0,40.0,,,,,,,,,,,,,,,,,,,,,,
75.0,,61.0,,,,,,,,,,,,,,,,,,,,,,,
76.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,
77.0,f,,,,,,,,,,,,,,,,,,,,,,,,
78.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,
79.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,
80.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
81.0,,,,0,,,,,,,,,,,,,,,,,,,,,
82.0,,,,0,,,,,,,,,,,,,,,,,,,,,
83.0,f,,,,,,,,,,,,,,,,,,,,,,,,
