page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,0,,,,,,,,,,,,,,,,,,,,
3.0,,,,,0,,,,,,,,,,,,,,,,,,,,
4.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,40.0,33.0,,,,,,,,,,,,,,,,,,,,,,
6.0,,18.0,16.0,,,,,,,,,,,,,,,,,,,,,,
7.0,f,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,f,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,27.0,25.0,,,,,,,,,,,,,,,,,,,,,,
12.0,,44.0,6.0,,,,,,,,,,,,,,,,,,,,,,
13.0,,36.0,38.0,,,,,,,,,,,,,,,,,,,,,,
14.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,f,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,
17.0,,,,,0,,,,,,,,,,,,,,,,,,,,
18.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,,14.0,40.0,,,,,,,,,,,,,,,,,,,,,,
20.0,,,,,0,,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,32.0,28.0,,,,,,,,,,,,,,,,,,,,,,
23.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,f,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,,,,,0,,,,,,,,,,,,,,,,,,,,
28.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,,17.0,9.0,,,,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,,,,0,,,,,,,,,,,,,,,,,,,,
33.0,,,,,0,,,,,,,,,,,,,,,,,,,,
34.0,,,,,0,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,,,,,,,,,,,,,,,,,,,,,
36.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,,,,,0,,,,,,,,,,,,,,,,,,,,
39.0,,55.0,62.0,95.0,,,,,,,,,,,,,,,,,,,,,
40.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,f,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,46.0,71.0,,,,,,,,,,,,,,,,,,,,,,
43.0,,,,,0,,,,,,,,,,,,,,,,,,,,
44.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,
45.0,,91.0,,,,,,,,,,,,,,,,,,,,,,,
46.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,0,,,,,,,,,,,,,,,,,,,,
48.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,
49.0,f,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
51.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,
52.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,
53.0,,,,,0,,,,,,,,,,,,,,,,,,,,
54.0,f,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,
56.0,,57.0,,,,,,,,,,,,,,,,,,,,,,,
57.0,,60.0,65.0,,,,,,,,,,,,,,,,,,,,,,
58.0,,51.0,68.0,,,,,,,,,,,,,,,,,,,,,,
59.0,f,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,
61.0,,84.0,,,,,,,,,,,,,,,,,,,,,,,
62.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,
63.0,f,,,,,,,,,,,,,,,,,,,,,,,,
64.0,,87.0,,,,,,,,,,,,,,,,,,,,,,,
65.0,,61.0,75.0,,,,,,,,,,,,,,,,,,,,,,
66.0,f,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,
68.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,
69.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,
70.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,
71.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
72.0,f,,,,,,,,,,,,,,,,,,,,,,,,
73.0,,81.0,,,,,,,,,,,,,,,,,,,,,,,
74.0,,69.0,52.0,,,,,,,,,,,,,,,,,,,,,,
75.0,,113.0,107.0,,,,,,,,,,,,,,,,,,,,,,
76.0,,77.0,,,,,,,,,,,,,,,,,,,,,,,
77.0,,82.0,,,,,,,,,,,,,,,,,,,,,,,
78.0,f,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,0,,,,,,,,,,,,,,,,,,,,
81.0,,76.0,2.0,,,,,,,,,,,,,,,,,,,,,,
82.0,,53.0,86.0,,,,,,,,,,,,,,,,,,,,,,
83.0,,96.0,94.0,,,,,,,,,,,,,,,,,,,,,,
84.0,,,,,0,,,,,,,,,,,,,,,,,,,,
85.0,f,,,,,,,,,,,,,,,,,,,,,,,,
86.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,
87.0,,70.0,45.0,,,,,,,,,,,,,,,,,,,,,,
88.0,,101.0,103.0,,,,,,,,,,,,,,,,,,,,,,
89.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
90.0,,102.0,,,,,,,,,,,,,,,,,,,,,,,
91.0,,83.0,,,,,,,,,,,,,,,,,,,,,,,
92.0,f,,,,,,,,,,,,,,,,,,,,,,,,
93.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
94.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
95.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,
96.0,,97.0,,,,,,,,,,,,,,,,,,,,,,,
97.0,,47.0,93.0,,,,,,,,,,,,,,,,,,,,,,
98.0,f,,,,,,,,,,,,,,,,,,,,,,,,
99.0,,,,,0,,,,,,,,,,,,,,,,,,,,
100.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,,0,,,,,,,,,,,,,,,,,,,,
102.0,,110.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,,109.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,f,,,,,,,,,,,,,,,,,,,,,,,,
105.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
