page,illo,c1,c2,c3,c4,details,death,bad,ok,good,win,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,153.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,160.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,0.0,,,,,0,,,,,,,,,,,,,,,,,,,
8.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,f,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,,,,,0,,,,,,,,,,,,,,,,,,,
12.0,,7.0,9.0,14.0,,,,,,,,,,,,,,,,,,,,,
13.0,,18.0,20.0,31.0,,,,,,,,,,,,,,,,,,,,,
14.0,,144.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,,,,,,0,,,,,,,,,,,,,,,,,,,
17.0,f,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,,16.0,29.0,,,,,,,,,,,,,,,,,,,,,,
22.0,f,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,33.0,76.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,67.0,128.0,,,,,,,,,,,,,,,,,,,,,,
27.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,f,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,,,,,,0,,,,,,,,,,,,,,,,,,,
31.0,,,,,,0,,,,,,,,,,,,,,,,,,,
32.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,49.0,148.0,,,,,,,,,,,,,,,,,,,,,,
34.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,f,,,,,,,,,,,,,,,,,,,,,,,,
