page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2.0,,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,
3.0,f,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,11.0,13.0,,,,,,,,,,,,,,,,,,,,,,
5.0,f,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,
7.0,f,,,,,,,,,,,,,,,,,,,,,,,,
8.0,f,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,s,,,,,,,,,,,,,,,,,,,,,,,,
11.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
12.0,f,,,,,,,,,,,,,,,,,,,,,,,,
13.0,0.0,2.0,21.0,,,,,,,,,,,,,,,,,,,,,,
14.0,f,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,s,,,,,,,,,,,,,,,,,,,,,,,,
17.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
18.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
19.0,s,,,,,,,,,,,,,,,,,,,,,,,,
20.0,f,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,
22.0,,25.0,26.0,,,,,,,,,,,,,,,,,,,,,,
23.0,f,,,,,,,,,,,,,,,,,,,,,,,,
24.0,f,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,29.0,31.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,32.0,37.0,,,,,,,,,,,,,,,,,,,,,,
27.0,f,,,,,,,,,,,,,,,,,,,,,,,,
28.0,f,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,,,,0,,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,40.0,34.0,,,,,,,,,,,,,,,,,,,,,,
32.0,s,33.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
34.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,
35.0,0.0,42.0,46.0,,,,,,,,,,,,,,,,,,,,,,
36.0,f,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,s,,,,,,,,,,,,,,,,,,,,,,,,
39.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
40.0,s,41.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,s,45.0,52.0,,,,,,,,,,,,,,,,,,,,,,
42.0,,,,,0,,,,,,,,,,,,,,,,,,,,
43.0,f,,,,,,,,,,,,,,,,,,,,,,,,
44.0,s,,,,,,,,,,,,,,,,,,,,,,,,
45.0,s,48.0,,,,,,,,,,,,,,,,,,,,,,,
46.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,f,,,,0,,,,,,,,,,,,,,,,,,,,
48.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,
49.0,f,,,,,,,,,,,,,,,,,,,,,,,,
50.0,f,,,,,,,,,,,,,,,,,,,,,,,,
51.0,,,,,0,,,,,,,,,,,,,,,,,,,,
52.0,,,,,0,,,,,,,,,,,,,,,,,,,,
53.0,f,,,,,,,,,,,,,,,,,,,,,,,,
54.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
