page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,
3.0,f,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,s,17.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,s,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,21.0,32.0,,,,,,,,,,,,,,,,,,,,,,
9.0,f,,,,,,,,,,,,,,,,,,,,,,,,
10.0,f,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,0.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,
13.0,f,,,,,,,,,,,,,,,,,,,,,,,,
14.0,s,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,s,42.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,f,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,27.0,35.0,,,,,,,,,,,,,,,,,,,,,,
18.0,,,,,0,,,,,,,,,,,,,,,,,,,,
19.0,f,,,,,,,,,,,,,,,,,,,,,,,,
20.0,f,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,
22.0,s,23.0,,,,,,,,,,,,,,,,,,,,,,,
23.0,s,39.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,,0,,,,,,,,,,,,,,,,,,,,
25.0,f,,,,,,,,,,,,,,,,,,,,,,,,
26.0,s,,,,,,,,,,,,,,,,,,,,,,,,
27.0,s,28.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,,,,0,,,,,,,,,,,,,,,,,,,,
29.0,f,,,,,,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,0.0,6.0,40.0,,,,,,,,,,,,,,,,,,,,,,
34.0,f,,,,,,,,,,,,,,,,,,,,,,,,
35.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
36.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,f,,,,,,,,,,,,,,,,,,,,,,,,
38.0,f,,,,,,,,,,,,,,,,,,,,,,,,
39.0,,,,,0,,,,,,,,,,,,,,,,,,,,
40.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,f,,,,,,,,,,,,,,,,,,,,,,,,
42.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
43.0,s,,,,,,,,,,,,,,,,,,,,,,,,
44.0,f,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,14.0,36.0,,,,,,,,,,,,,,,,,,,,,,
46.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
47.0,s,,,,,,,,,,,,,,,,,,,,,,,,
48.0,s,,,,,,,,,,,,,,,,,,,,,,,,
49.0,s,6.0,,,,,,,,,,,,,,,,,,,,,,,
50.0,f,,,,,,,,,,,,,,,,,,,,,,,,
51.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,
52.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
53.0,s,,,,,,,,,,,,,,,,,,,,,,,,
