page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
0.0,f,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,s,5.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,s,,,,,,,,,,,,,,,,,,,,,,,,
4.0,f,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,
6.0,s,7.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,s,12.0,14.0,,,,,,,,,,,,,,,,,,,,,,
8.0,f,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,17.0,10.0,,,,,,,,,,,,,,,,,,,,,,
10.0,s,11.0,,,,,,,,,,,,,,,,,,,,,,,
11.0,s,26.0,,,,,,,,,,,,,,,,,,,,,,,
12.0,,24.0,31.0,,,,,,,,,,,,,,,,,,,,,,
13.0,f,,,,,,,,,,,,,,,,,,,,,,,,
14.0,s,15.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,s,28.0,23.0,,,,,,,,,,,,,,,,,,,,,,
16.0,s,,,,,,,,,,,,,,,,,,,,,,,,
17.0,s,20.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,s,19.0,,,,,,,,,,,,,,,,,,,,,,,
19.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
20.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
21.0,s,,,,,,,,,,,,,,,,,,,,,,,,
22.0,s,,,,,,,,,,,,,,,,,,,,,,,,
23.0,s,38.0,44.0,,,,,,,,,,,,,,,,,,,,,,
24.0,s,25.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,s,32.0,,,,,,,,,,,,,,,,,,,,,,,
26.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
27.0,s,,,,,,,,,,,,,,,,,,,,,,,,
28.0,s,29.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,s,35.0,36.0,,,,,,,,,,,,,,,,,,,,,,
30.0,s,,,,,,,,,,,,,,,,,,,,,,,,
31.0,s,41.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,,,,,0,,,,,,,,,,,,,,,,,,,,
33.0,f,,,,,,,,,,,,,,,,,,,,,,,,
34.0,s,,,,,,,,,,,,,,,,,,,,,,,,
35.0,s,42.0,18.0,,,,,,,,,,,,,,,,,,,,,,
36.0,s,37.0,,,,,,,,,,,,,,,,,,,,,,,
37.0,s,46.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,s,39.0,,,,,,,,,,,,,,,,,,,,,,,
39.0,s,50.0,,,,,,,,,,,,,,,,,,,,,,,
40.0,f,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,0,,,,,,,,,,,,,,,,,,,,
42.0,s,43.0,,,,,,,,,,,,,,,,,,,,,,,
43.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
44.0,s,48.0,,,,,,,,,,,,,,,,,,,,,,,
45.0,s,,,,,,,,,,,,,,,,,,,,,,,,
46.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
47.0,s,,,,,,,,,,,,,,,,,,,,,,,,
48.0,s,49.0,,,,,,,,,,,,,,,,,,,,,,,
49.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
50.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
51.0,s,,,,,,,,,,,,,,,,,,,,,,,,
