page,illo,c1,c2,c3,score,restore,,,,,,,,,,,,,,,,,,,
6.0,f,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,0.0,9.0,13.0,,,,,,,,,,,,,,,,,,,,,,
9.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,f,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,14.0,17.0,,,,,,,,,,,,,,,,,,,,,,
12.0,f,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,,,,0,8,,,,,,,,,,,,,,,,,,,
14.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,
15.0,f,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,
17.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,f,,,,,,,,,,,,,,,,,,,,,,,,
19.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,0.0,23.0,14.0,,,,,,,,,,,,,,,,,,,,,,
22.0,f,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,,1,20,,,,,,,,,,,,,,,,,,,
24.0,,29.0,32.0,35.0,,,,,,,,,,,,,,,,,,,,,
25.0,f,,,,,,,,,,,,,,,,,,,,,,,,
26.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,41.0,37.0,,,,,,,,,,,,,,,,,,,,,,
29.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,f,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,,,,2,24,,,,,,,,,,,,,,,,,,,
32.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,
33.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
34.0,0.0,50.0,53.0,,,,,,,,,,,,,,,,,,,,,,
35.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,
36.0,,29.0,32.0,,,,,,,,,,,,,,,,,,,,,,
37.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,f,,,,,,,,,,,,,,,,,,,,,,,,
39.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,
40.0,,44.0,47.0,,,,,,,,,,,,,,,,,,,,,,
41.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,
42.0,f,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,,,2,28,,,,,,,,,,,,,,,,,,,
44.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
