num,ref_page,note_start_page,note_end_page,note_lines_per_page
1.0,23.0,983.0,983.0,1.0
2.0,46.0,983.0,983.0,2.0
3.0,51.0,983.0,983.0,15.0
4.0,51.0,983.0,983.0,2.0
5.0,53.0,983.0,983.0,18.0
6.0,53.0,983.0,984.0,"5,3"
7.0,53.0,984.0,984.0,13.0
8.0,53.0,984.0,984.0,9.0
9.0,53.0,984.0,984.0,7.0
10.0,53.0,984.0,984.0,4.0
11.0,54.0,984.0,984.0,2.0
12.0,55.0,984.0,984.0,8.0
13.0,55.0,984.0,984.0,3.0
14.0,56.0,984.0,985.0,"1,2"
15.0,56.0,985.0,985.0,2.0
16.0,56.0,985.0,985.0,2.0
17.0,57.0,985.0,985.0,3.0
18.0,58.0,985.0,985.0,9.0
19.0,59.0,985.0,985.0,1.0
20.0,59.0,985.0,985.0,5.0
21.0,60.0,985.0,985.0,1.0
22.0,60.0,985.0,985.0,2.0
23.0,63.0,985.0,985.0,1.0
24.0,64.0,985.0,993.0,"20,49,49,52,47,46,49,49,47"
25.0,64.0,994.0,994.0,1.0
26.0,67.0,994.0,994.0,4.0
27.0,67.0,994.0,994.0,4.0
28.0,70.0,994.0,994.0,4.0
29.0,74.0,994.0,994.0,1.0
30.0,76.0,994.0,994.0,3.0
31.0,79.0,994.0,994.0,2.0
32.0,81.0,994.0,994.0,2.0
33.0,81.0,994.0,994.0,2.0
34.0,82.0,994.0,994.0,8.0
35.0,82.0,994.0,994.0,6.0
36.0,83.0,994.0,994.0,2.0
37.0,88.0,994.0,994.0,1.0
38.0,88.0,994.0,994.0,4.0
39.0,89.0,994.0,994.0,6.0
40.0,89.0,995.0,995.0,12.0
41.0,92.0,995.0,995.0,2.0
42.0,94.0,995.0,995.0,4.0
43.0,103.0,995.0,995.0,2.0
44.0,108.0,995.0,995.0,2.0
45.0,108.0,995.0,995.0,1.0
46.0,110.0,995.0,995.0,6.0
47.0,126.0,995.0,995.0,6.0
48.0,126.0,995.0,995.0,5.0
49.0,137.0,995.0,995.0,1.0
50.0,138.0,995.0,995.0,2.0
51.0,138.0,995.0,995.0,4.0
52.0,152.0,995.0,996.0,"1,4"
53.0,154.0,996.0,996.0,2.0
54.0,154.0,996.0,996.0,2.0
55.0,156.0,996.0,996.0,3.0
56.0,170.0,996.0,996.0,4.0
57.0,170.0,996.0,996.0,8.0
58.0,176.0,996.0,996.0,1.0
59.0,178.0,996.0,996.0,1.0
60.0,184.0,996.0,996.0,2.0
61.0,185.0,996.0,996.0,7.0
62.0,187.0,996.0,996.0,4.0
63.0,187.0,996.0,996.0,1.0
64.0,188.0,996.0,997.0,"8,10"
65.0,189.0,997.0,997.0,11.0
66.0,191.0,997.0,997.0,4.0
67.0,196.0,997.0,998.0,"37,4"
68.0,198.0,998.0,998.0,3.0
69.0,201.0,998.0,998.0,5.0
70.0,202.0,998.0,998.0,14.0
71.0,205.0,998.0,998.0,1.0
72.0,206.0,998.0,998.0,2.0
73.0,213.0,998.0,998.0,7.0
74.0,217.0,998.0,998.0,1.0
75.0,218.0,998.0,998.0,6.0
76.0,218.0,998.0,999.0,"6,21"
77.0,219.0,999.0,999.0,6.0
78.0,223.0,999.0,999.0,3.0
79.0,225.0,999.0,999.0,5.0
80.0,228.0,999.0,1000.0,"16,2"
81.0,234.0,1000.0,1000.0,2.0
82.0,242.0,1000.0,1000.0,10.0
83.0,251.0,1000.0,1000.0,1.0
84.0,253.0,1000.0,1000.0,3.0
85.0,259.0,1000.0,1000.0,1.0
86.0,260.0,1000.0,1000.0,2.0
87.0,260.0,1000.0,1000.0,1.0
88.0,265.0,1000.0,1000.0,5.0
89.0,269.0,1000.0,1000.0,8.0
90.0,272.0,1000.0,1003.0,"12,53,53,15"
91.0,274.0,1003.0,1003.0,2.0
92.0,282.0,1003.0,1003.0,1.0
93.0,283.0,1003.0,1003.0,4.0
94.0,283.0,1003.0,1003.0,10.0
95.0,284.0,1003.0,1003.0,4.0
96.0,285.0,1003.0,1003.0,2.0
97.0,286.0,1003.0,1003.0,5.0
98.0,286.0,1003.0,1003.0,5.0
99.0,287.0,1003.0,1003.0,1.0
100.0,291.0,1004.0,1004.0,4.0
