seq,year,subsidy,date,time,pages,capsule,capsule_tagged,groups,characters
1.0,1950.0,,,,64.0,James O. Incandenza “Himself” born,<joi>James O. Incandenza</> “Himself” born,eta,joi
2.0,1953.0,,,,766.0,Avril Incandenza (née Mondragon) born,<avril>Avril Incandenza</> (née Mondragon) born,eta,avril
3.0,1960.0,,,,157.0,"James Incandenza’s father gives him an ontologically dicey tennis lesson: “you’re a machine a body an object, Jim”","<joi-father>James Incandenza’s father</> gives <joi>him</> an ontologically dicey tennis lesson: “you’re a machine a body an object, Jim”",eta,"joi,joi-father"
4.0,1961.0,,,,"900, 953","When Avril is 8 years old, her mother dies of ‘an infarction’ under unknown circumstances","When <avril>Avril</> is 8 years old, <avril-mother>her mother</> dies of ‘an infarction’ under unknown circumstances",eta,"avril,avril-mother"
5.0,,,,,314.0,Charles Tavis born (his mother will later marry Avril’s father),<tavis>Charles Tavis</> born (his mother will later marry Avril’s father),eta,tavis
6.0,1962.0,,,,"313, 492",James Incandenza’s father retires “from a sad third career as the Man from Glad”,<joi-father>James Incandenza’s father</> retires “from a sad third career as the Man from Glad”,eta,joi-father
7.0,1963.0,,Winter,,503.0,A 13-year-old James Incandenza first becomes “interested in the possibilities of annulation” while helping his father fix an old mattress,A 13-year-old <joi>James Incandenza</> first becomes “interested in the possibilities of annulation” while helping <joi-father>his father</> fix an old mattress,eta,"joi,joi-father"
8.0,1981.0,,,,"55, 277",Don Gately born,<gately>Don Gately</> born,eh,gately
9.0,1983.0,,,,"314, 598, 916",Orin Incandenza born,<orin>Orin Incandenza</> born,eta,orin
10.0,1985.0,,,,809.0,Gately lives in a beach house in Beverly with his mother and “Herman” the breathing ceiling,<gately>Gately</> lives in a beach house in Beverly with his mother and “Herman” the breathing ceiling,eh,gately
11.0,1990.0,,,,"449, 903",Gately smokes “his first duBois at age nine” and his mother is diagnosed with cirrhosis,<gately>Gately</> smokes “his first duBois at age nine” and his mother is diagnosed with cirrhosis,eh,gately
12.0,1991.0,,,,312.0,Tavis arrives at E.T.A. before Mario is born but “after the horrible snafu with the video-scoreboard at Toronto’s Skydrome”,<tavis>Tavis</> arrives at E.T.A. before <mario>Mario</> is born but “after the horrible snafu with the video-scoreboard at Toronto’s Skydrome”,eta,"mario,tavis"
13.0,,,,,54.0,Mario Incandenza born,<mario>Mario Incandenza</> born,eta,mario
14.0,1992.0,,,,1058.0,Beginnings of Le Jeu du Prochain Train among Québécois youth,Beginnings of <i>Le Jeu du Prochain Train</i> among Québécois youth,afr,
15.0,,,June,,27.0,Hal Incandenza born,<hal>Hal Incandenza</> born,eta,hal
16.0,1994.0,,,,"903, 904",Gately takes “his first Quaalude at age thirteen” and becomes a “devotee of Quaaludes and Hefehreffer-brand beer”,<gately>Gately</> takes “his first Quaalude at age thirteen” and becomes a “devotee of Quaaludes and Hefehreffer-brand beer”,eh,gately
17.0,1997.0,,,,987.0,The M.I.T. language riots break out in the wake of the Militant Grammarians of Massachusetts convention,The M.I.T. language riots break out in the wake of the Militant Grammarians of Massachusetts convention,onan,
18.0,,,March or Early April,,10.0,Hal finds some mold in the basement of his Weston house: “I ate this”,<hal>Hal</> finds some mold in the basement of his Weston house: “I ate this”,eta,hal
19.0,,,May,,906.0,Gately withdraws from school after failing “Sophomore Comp.” to preserve his junior season on the football team,<gately>Gately</> withdraws from school after failing “Sophomore Comp.” to preserve his junior season on the football team,eh,gately
20.0,,,Late October,,906.0,Gately smokes his “first gasper” after his mother is taken to the hospital with a “cirrhotic hemorrhage and cerebral-blood thing”,<gately>Gately</> smokes his “first gasper” after his mother is taken to the hospital with a “cirrhotic hemorrhage and cerebral-blood thing”,eh,gately
21.0,,,,,911.0,"After dropping out of school, Gately works for bookmaker Whitey Sorkin and meets Gene Fackelmann","After dropping out of school, <gately>Gately</> works for bookmaker <sorkin>Whitey Sorkin</> and meets <fax>Gene Fackelmann</>",eh,"fax,gately,sorkin"
22.0,1999.0,,,,4.0,Hal moves to the E.T.A. dorms at age seven,<hal>Hal</> moves to the E.T.A. dorms at age seven,eta,hal
23.0,,,,,912.0,Gately serves “as like Whitey Sorkin’s operative in the field” from the age of 18–23,<gately>Gately</> serves “as like <sorkin>Whitey Sorkin’s</> operative in the field” from the age of 18–23,eh,"gately,sorkin"
24.0,2001.0,,,,843.0,"At 20, Gately spends “about a year” crashing in the loft of a “ragingly addicted R.N.” student’s dorm in Malden","At 20, <gately>Gately</> spends “about a year” crashing in the loft of a “ragingly addicted R.N.” student’s dorm in Malden",eh,gately
25.0,,,,,283.0,Orin “got out of competitive tennis when Hal was nine and Mario nearly eleven”,<orin>Orin</> “got out of competitive tennis when <hal>Hal</> was nine and <mario>Mario</> nearly eleven”,eta,"mario,hal,orin"
26.0,,,,,294.0,Orin’s first game against Syracuse was “in its last season of representing an American University”,<orin>Orin’s</> first game against Syracuse was “in its last season of representing an American University”,eta,orin
27.0,,,,,411.0,"“Subsidized Time was conceived on the back of a chintzy Chinese-zodiac paper placemat, by R. Tine” in a “famous Vienna, Virginia Szechuan steakhouse”","“Subsidized Time was conceived on the back of a chintzy Chinese-zodiac paper placemat, by <tine-sr>R. Tine</>” in a “famous Vienna, Virginia Szechuan steakhouse”",onan,tine-sr
28.0,,,“after Xmas”,,915.0,"While forging drivers licenses, Gately watches Orin (the “B.U. punter”) on television and begins to cry","While forging drivers licenses, <gately>Gately</> watches <orin>Orin</> (the “B.U. punter”) on television and begins to cry","eta,eh","gately,orin"
29.0,,,“two days later”,,916.0,Gately is arrested for assaulting two bouncers “two days later”,<gately>Gately</> is arrested for assaulting two bouncers “two days later”,eh,gately
30.0,,,New Year’s Eve,,296.0,"“Freshman New Year’s Eve … the last P.M. Before Subsidization, was the first time Orin saw Joelle ingest very small amounts of cocaine”","“Freshman New Year’s Eve … the last P.M. Before Subsidization, was the first time <orin>Orin</> saw <joelle>Joelle</> ingest very small amounts of cocaine”",eta,"joelle,orin"
31.0,2002.0,Year of the Whopper,,,924.0,Gately is “disastrously involved with one Pamela Hoffman-Jeep” for several months before doing his “State assault-bit”,<gately>Gately</> is “disastrously involved with one <phj>Pamela Hoffman-Jeep</>” for several months before doing his “State assault-bit”,eh,"phj,gately"
32.0,,,,,917.0,"During Gately’s three months of being out on bail, Fackelmann pulls a “scam with Eighties Bill and Sixties Bob” and rips off Sorkin in the process","During <gately>Gately’s</> three months of being out on bail, <fax>Fackelmann</> pulls a “scam with Eighties Bill and Sixties Bob” and rips off <sorkin>Sorkin</> in the process",eh,"fax,gately,sorkin"
